"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Position.modifier","sheets.players.Club.on.23.Jan.2023","sheets.players.League","sheets.players.Age.on.23.Jan.2023","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"85","","Re-entry","Raphaël Varane","Defender","CENTRE","Manchester United","England","29","France","French, Premier League, Defenders","Yes","","https://media.guim.co.uk/09ee15a7ea3bd4d6b610f8ef81c2463b0c1906bf/484_58_798_798/500.jpg","","https://media.guim.co.uk/d693dd809d10b53622a7473ab9053b1a10da91e9/0_48_3500_2101/500.jpg","","","After problems with injury upon arrival at Old Trafford, 2022 was the year the centre-back made his mark in the Premier League. Varane has become a mainstay in the heart of United’s defence, seemingly unflustered by playing next to a different partner most weeks. He helped France get to the World Cup final playing through illness to make sure they took Argentina to penalties but sometimes even the best defenders are not a match for the great Lionel Messi. His performances in Qatar have helped Varane return to the top 100 after a two-year absence. ","Will Unwin","PC","AR","day_4_scalpel.jpg"
"86","","Re-entry","Dayot Upamecano","Defender","CENTRE","Bayern Munich","Germany","24","France","French, Bundesliga, Defenders","Yes","","https://media.guim.co.uk/0c77b7b149b2397abfa57fa14eb1561d03cba497/0_86_1578_1578/500.jpg","","https://media.guim.co.uk/028e6959ace2b6fd74dae0e9b9840e6b4a45563a/0_16_2935_1761/500.jpg","","","It hasn’t been easy for Upamecano since he arrived in Munich in 2021, and his uneven performances cast doubt over his long-term future at Bayern. 2022 was better, and his improved form at club level allowed him to be ready to receive the opportunity when a tidal wave of injuries struck France before the World Cup. Upamecano was excellent in Qatar, give or take a quarter-final chasing from Harry Kane, sealing a return to the 100 and putting himself at the front of the queue to lead France’s next generation with his fine anticipation and adventurous manner when he steps out. ","Andy Brassell","PC","AR","day_4_scalpel.jpg"
"87","66","-21","Ciro Immobile","Forward","CENTRE","Lazio","Italy","32","Italy","Italian, Serie A, Forwards","Yes","","https://media.guim.co.uk/bdbde901098074cc0f7fd2a3992d6e62201ec0e1/1410_0_2223_2223/500.jpg","","https://media.guim.co.uk/f1c8832eae9e2291ef3230c6af2e86b38ba2c704/0_84_4500_2700/500.jpg","","","Few players have made our top 100 list as consistently as Immobile, appearing for the sixth consecutive year, but the criticism of him remains the same as ever: that he is ruthless for his club and toothless for his country. With Lazio, he finished as Serie A’s capocannoniere (top scorer) again last season, becoming the first Italian to do so four times in a career. Yet he failed to find the net while wearing the captain’s armband for Italy’s humiliating World Cup qualifying playoff defeat to North Macedonia, placing just one of his seven attempts on target.","Nicky Bandini","AR","PC","day_4_scalpel.jpg"
"88","59","-29","Declan Rice","Midfielder","CENTRE","West Ham","England","24","England","English, Premier League, Midfielders","Yes","","https://media.guim.co.uk/dc97314bb45a63aa88937159b2070435964afe88/144_11_2233_2231/500.jpg","","https://media.guim.co.uk/538bcbb01485a9592f5357440dcc9cb3baf0caa3/168_207_4978_2987/500.jpg","","","Jude Bellingham captured the headlines in Qatar for England as Rice, who turned 24 in January, continued his development into being the national team’s dependable, durable midfield mainstay. The England captaincy may beckon soon enough and, before that, an exit from West Ham. Rice has talked of wanting to play Champions League football, and such opportunities will not be forthcoming at the London Stadium. With many of the Premier League’s elite clubs having a vacancy in central midfield, an auction is likely for such a capable player. How West Ham might get on without him is a question that troubles the club’s fans.","John Brewin","AR","PC","day_4_scalpel.jpg"
"89","","Re-entry","Frenkie de Jong","Midfielder","CENTRE","Barcelona","Spain","25","Netherlands","Other nationalities, La Liga, Midfielders","Yes","","https://media.guim.co.uk/1ce572edf7a4f14c6332d2a452a3da3db9895964/2164_95_1643_1643/500.jpg","","https://media.guim.co.uk/1394e2beac9f610e9ddf687ce7be28da6a355318/0_93_4000_2400/500.jpg","","","Is anyone as fundamentally associated with the words ""Manchester United transfer saga"" as Frenkie de Jong? Wesley Sneijder, Nicolás Gaitán and Gareth Bale might give him a run for his money, but the Barcelona midfielder has turned elusiveness into an art form. Having reached the Champions League semi-finals with Ajax in 2019, winning a domestic double that same season, Erik ten Hag has good reason to admire his compatriot. While De Jong has not had an easy ride at Barça, in part because of the tumultuous situation off the field, he has been crucial to their gradual resurgence under Xavi. He also remains indispensable to his national side, starting all five of the Netherlands' games in their run to the World Cup quarter-finals.","Will Magee","AR","PC","day_4_scalpel.jpg"
"90","","New","Bruno Guimarães","Midfielder","CENTRE","Newcastle","England","25","Brazil","Brazilian, Premier League, Midfielders","Yes","","https://media.guim.co.uk/86e62804ec7e95b9bb4cc45bff25109613fdd495/639_69_1130_1129/500.jpg","","https://media.guim.co.uk/6268e517cb12f9d3d004b9b5b73463a3f25c85f4/0_82_2002_1201/500.jpg","","","Newcastle fans often sing about their Brazil midfielder wearing a “magic hat” and Guimarães has certainly cast his spell at St James’ Park where the £35m signing from Lyon last January is now a firm cult hero. If it helps that he chose Eddie Howe’s side over Arsenal, the ease with which the 25-year-old has proved capable of alternately assuming both the No 6 and No 8 roles has seen him hailed as the club’s best midfielder since Rob Lee. Like Lee, the technically assured Guimarães is capable of controlling games and possesses a keen eye for goal. He wears the No 39 shirt in homage to his father, a former taxi driver whose car’s call sign was 39.","Louise Taylor","AR","PC","day_4_scalpel.jpg"
"91","36","-55","Manuel Neuer","Goalkeeper","CENTRE","Bayern Munich","Germany","36","Germany","German, Bundesliga, Goalkeepers","Yes","","https://media.guim.co.uk/06146fe26ea6d89d5cf2dd2596dd52fc6a548459/432_35_636_636/500.jpg","","https://media.guim.co.uk/ae5b5339f24ab59dd8bfb2fd5ebfd6c4ac7d785d/0_261_5000_3000/500.jpg","","","Neuer’s excellent form for Bayern is taken for granted at this point, and he had another solid year at club level. The coda to his 2022 could, however, be career-defining. He had a poor World Cup, with his mistakes magnified as Germany fell at the first hurdle. He then broke his leg skiing shortly after returning from Qatar to rule him out for the rest of the season. At 36, with Barcelona’s Marc-André ter Stegen in fine form and with Bayern searching for an elite backup/replacement in goal, this could possibly be Neuer’s last time on the list.","Andy Brassell","AR","PC","day_4_scalpel.jpg"
"92","","New","Giorgian de Arrascaeta ","Midfielder","CENTRE","Flamengo","Brazil","28","Uruguay","Other nationalities, Other leagues, Midfielders","Yes","","https://media.guim.co.uk/3a444dcb9a0534c704d75c8737b832a89bc064b0/472_195_669_669/500.jpg","","https://media.guim.co.uk/b4b74d6e5649ba136bc3733486be049e61bab534/0_38_1704_1022/500.jpg","","","The magisterial Uruguayan yet again underlined why he is the best playmaker on the continent, pulling the strings for a Flamengo side that did the Libertadores and Copa do Brasil double. Blessed with vision, poise and technique, De Arrascaeta laid on a career-best 20 assists across all competitions, leading Rivaldo to claim that “any manager would want him on their team”. “Cocho” was the only Uruguayan to score at the World Cup – an ultimately fruitless double against Ghana – and you can’t help but think that La Celeste might have missed a trick by not using their little magician more often.","Tom Robinson","AR","PC","day_4_scalpel.jpg"
"93","","New","Rodrygo","Winger","RIGHT","Real Madrid","Spain","22","Brazil","Brazilian, La Liga, Forwards","Yes","","https://media.guim.co.uk/535f84d124fed1c63fbc5443b6e72beac41178c1/1085_25_1295_1295/500.jpg","","https://media.guim.co.uk/f7672b44911843c954c6cbcb67a750c7bfee0759/0_144_4282_2570/500.jpg","","","Not always in Carlo Ancelotti’s starting XI but 2022 was still a good year for Rodrygo, who played a crucial role in Real Madrid winning their 14th European Cup. He scored five goals along the way, none more important than the two late, late goals in the second leg of the semi-final against Manchester City. Has at times been the victim of Ancelotti deploying Federico Valverde on the right but the Brazilian is often a gamechanger when he comes on. Skilful and clinical in front of goal, he is also a mature speaker off the pitch. His compatriot Ronaldo is a fan, saying Rodrygo would get “into any team in the world” ignoring perhaps the two teams he is playing for, Real and Brazil.","Marcus Christenson","AR","PC","day_4_scalpel.jpg"
"94","70","-24","Reece James","Defender","RIGHT","Chelsea","England","23","England","English, Premier League, Defenders","Yes","","https://media.guim.co.uk/1a65b6bb7ce11932511d7532e3ebfe7f8d34fde7/2690_143_2171_2172/500.jpg","","https://media.guim.co.uk/d6602c02272c6960cc648b1d3fce59a960cc0106/0_171_4500_2700/500.jpg","","","The full-back often shone for Chelsea in 2022, playing an important part in them reaching two cup finals and securing a top-four finish. But James was also dogged by injuries, the most devastating of which was the knee injury he sustained in the Champions League group victory away at Milan in October that resulted in the 23-year-old missing the World Cup. He returned for the Premier League win against Bournemouth at the end of the year but was subsequently struck down by the same problem in the second half of that game. A hugely talented player, clearly, but he falls 24 places on the list.","Sachin Nakrani","AR","PC","day_4_scalpel.jpg"
"95","41","-54","Serge Gnabry","Winger","RIGHT","Bayern Munich","Germany","27","Germany","German, Bundesliga, Forwards","Yes","","https://media.guim.co.uk/954c971c6c573c96389480a6b0583b272834c16b/2926_1067_1602_1602/500.jpg","","https://media.guim.co.uk/52d0e6b7d561418c72ba9307f91bf1d5d8754b85/241_524_3024_1814/500.jpg","","","Gnabry falls a huge 54 places, despite a perfectly good year in many senses. He struck 17 times in all competitions in 2021-22 and has gone along at almost a goal per start for Bayern this time around, often pushed into a striking role in a 4-4-2 by Julian Nagelsmann following Robert Lewandowski’s exit. His association with Germany’s World Cup failure has cost him, with Hansi Flick’s team undermined by repeatedly missing chances as well as defensive slip-ups. Having signed a lucrative new deal in 2022, Gnabry will continue to be influential for club and country.","Andy Brassell","AR","PC","day_4_scalpel.jpg"
"96","","New","Sandro Tonali","Midfielder","CENTRE","Milan","Italy","22","Italy","Italian, Serie A, Midfielders","Yes","","https://media.guim.co.uk/961611da33cff7e1983aefe7c7789e252ff8bd1e/722_116_1276_1276/500.jpg","","https://media.guim.co.uk/0a8943539fc9dadf73e04b9228b41e3fbc4e63c1/1239_0_4664_2798/500.jpg","","","For years, Tonali was billed as the “next Andrea Pirlo”. The midfielder always thought his playing style aligned closer to Gennaro Gattuso but his manager, Stefano Pioli, sees shades of Daniele De Rossi in there too. Everyone can at least agree now that Tonali has flourished with the Rossoneri, playing his way into a starting position last season even when that meant breaking up the established partnership of Franck Kessié and Ismaël Bennacer. He scored crucial goals away at Lazio and Verona in the spring to keep Milan on course for the scudetto, and help earn himself a first appearance on this list.","Nicky Bandini","AR","PC","day_4_scalpel.jpg"
"97","","Re-entry","Andrew Robertson","Defender","LEFT","Liverpool","England","28","Scotland","Other nationalities, Premier League, Defenders","Yes","","https://media.guim.co.uk/cc24a88502773df1eac6095d00512c4c744f268d/1718_148_1449_1449/500.jpg","","https://media.guim.co.uk/940529ce616e998082b86b80847a74f43d9a0da4/0_0_2194_1317/500.jpg","","","In December the full-back broke the record for most Premier League assists by a defender as he set up Mohamed Salah for Liverpool’s opener at Aston Villa on Boxing Day. It was Robertson’s 54th assist in the English top flight – with 50 of them coming at Liverpool – and it meant he overtook Everton’s Leighton Baines at the top of the list. After the game Jürgen Klopp said: “I just remember the guy we bought from Hull. Offensively he was great, defensively not so good. Now he can do both.” His energy levels have dropped somewhat in 2022-23, along with the rest of the Liverpool team.","Marcus Christenson","AR","PC","day_4_scalpel.jpg"
"98","","Re-entry","Leroy Sané","Winger","LEFT","Bayern Munich","Germany","27","Germany","German, Bundesliga, Forwards","Yes","","https://media.guim.co.uk/2bab4b32ade61fffecaeb7b8cb7a097fd74f92f9/569_218_1073_1073/500.jpg","","https://media.guim.co.uk/d3e828ce1119c3cdb32f3f2deb4d7896ac1d0c99/1_56_1546_928/500.jpg","","","Sané returns to the list after a year’s absence and is as perplexing a talent as ever. His status at Bayern rose during 2022, having previously drawn the ire of Karl-Heinz Rummenigge for a perceived lack of defensive effort and Sané has been the subject of much fretting due to his colossal wages. On his day he looks like one of the world’s best, with his combination of pace, skill and finishing power, and he is having more of those days for Bayern than he did before. Even at the age of 27 it still feels as if he is on the outside looking in for Germany, taken to the World Cup but hardly used even in times of difficulty.","Andy Brassell","AR","PC","day_4_scalpel.jpg"
"99","","Re-entry","Gabriel Barbosa","Forward","CENTRE","Flamengo","Brazil","26","Brazil","Brazilian, Other leagues, Forwards","Yes","","https://media.guim.co.uk/36b1aae30c6db94b6e875b465c7672b1e9f16d23/673_151_1463_1463/500.jpg","","https://media.guim.co.uk/34f459475c9e9d3f2684bc1a491c44ec0e9ecdd0/0_0_4305_2583/500.jpg","","","Always the man for the big occasion, the artist formerly known as Gabigol popped up with the winner in the Copa Libertadores final – just as he had in 2019 – to give Flamengo their second continental title in four years. That goal made him the joint top Brazilian scorer in Libertadores history and, despite not making Tite’s World Cup squad, 29 goals in 2022 sees Barbosa sneak on to the list. While the prolific forward may not have lived up to the “next Neymar” hype, he cemented his place as a Flamengo legend and even inherited the hallowed No 10 shirt – not before seeking Zico’s approval, of course.","Tom Robinson","AR","PC","day_4_scalpel.jpg"
"100","","New","Nicolás Otamendi","Defender","CENTRE","Benfica","Portugal","34","Argentina","Argentinian, Other leagues, Defenders","Yes","","https://media.guim.co.uk/4ccbf5642ab59c7fd52d2ed00a5d109818b36212/1336_16_1248_1248/500.jpg","","https://media.guim.co.uk/d01b8d1a0602f0e2e20f793d447f2759b0a0893b/0_212_6615_3969/500.jpg","","","On our list for the first time, the 34-year-old can look back at a wildly successful 2022 that was crowned by the World Cup victory in December. The former Manchester City defender started every game and played every minute in Qatar, the coach, Lionel Scaloni, sticking by him despite the opening defeat against Saudi Arabia. At club level Otamendi played an integral part as Benfica finished third in 2021-22. The club then went on to win their Champions League group ahead of PSG and Juventus. His coach, Roger Schmidt, is a fan and recently said the club are keen to extend the veteran’s contract.","Marcus Christenson","AR","PC","day_4_scalpel.jpg"
