"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Position.modifier","sheets.players.Club.on.23.Jan.2023","sheets.players.League","sheets.players.Age.on.23.Jan.2023","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"1","2","1","Lionel Messi","Forward","RIGHT","Paris Saint-Germain","France","35","Argentina","Argentinian, Ligue 1, Forwards","Yes","","https://media.guim.co.uk/43ea133e5b75014142789d83b0b3436cab703cd8/819_42_685_685/500.jpg","","https://media.guim.co.uk/95998dd76aa1c5196a648a5d395717eb577ffb9d/0_0_7677_4609/500.jpg","","","After a low-key 2021-22 season, his first at PSG, no one knew quite what to expect from Messi in this World Cup-interrupted campaign. However, he came back after the summer firing on all cylinders. There were goals or assists in all but four Ligue 1 games he played before the World Cup and in Qatar, of course, he led Argentina to glory for the first time since 1986. Messi played with abandon as Argentina bounced back from their opening defeat to Saudi Arabia to go all the way, Messi scoring seven goals, including two in the final. He tops our list for a remarkable sixth time with every single judge of the 206-strong panel having him on their voting slip and with 156 of them putting him at No 1.","Marcus Christenson","","","day_4_scalpel.jpg"
"2","6","4","Kylian Mbappé","Forward","CENTRE","Paris Saint-Germain","France","24","France","French, Ligue 1, Forwards","Yes","","https://media.guim.co.uk/61dd16e73149973a4561139c4f7061f9cfbd96ac/619_24_583_583/500.jpg","","https://media.guim.co.uk/abadabb4475f98e5e4d3b484f1c93ff042b1c8ba/0_95_2742_1645/500.jpg","","","This was the year that confirmed that The Age of Mbappé has already begun. No one in Europe’s leading divisions came close to his 44 goals in 43 club games, before a hat-trick in the final helped the France forward top the World Cup scoring charts with eight. Although signs of growing self-importance are a concern, an increasingly ruthless and commanding Mbappé was routinely unplayable in 2022, regardless of the competition. Each year since his 2017 emergence has seen Mbappé’s game authoritatively ease up a gear. Barely 24, the likely continuation of that upward curve is at once a thrilling and terrifying prospect.","Adam White","","","day_4_scalpel.jpg"
"3","4","1","Karim Benzema","Forward","CENTRE","Real Madrid","Spain","35","France","French, La Liga, Forwards","Yes","","https://media.guim.co.uk/d46dbe387dfb8854017ce48415025a26608f2a2a/658_12_1366_1366/500.jpg","","https://media.guim.co.uk/65d111ee08979d1ad86d06816b93573b8ed57525/0_88_5440_3263/500.jpg","","","“K9 is Superman,” Iker Casillas said. “K9 is Wolverine. K9 is your best friend. K9 is your grandmother. K9 is the parachute instructor you throw yourself out of an aircraft with. K9 is your guardian angel. K9 is God.” K9, in short, is our No 3 – and he may consider that low, injury and absence from the World Cup denying him (and perhaps France?) the chance to reach the very top. Top scorer in La Liga and the Champions League, scoring three against PSG, three against Manchester City and four against Chelsea, he was deservedly the runaway Ballon d’Or winner.","Sid Lowe","","","day_4_scalpel.jpg"
"4","7","3","Erling Haaland","Forward","CENTRE","Manchester City","England ","22","Norway","Other nationalities, Premier League, Forwards","Yes","","https://media.guim.co.uk/fb9e9b89b276ef5a1c03b2807bf9ee85097c6aa1/1063_133_1231_1230/500.jpg","","https://media.guim.co.uk/52414521614247b5c709e9b1a4dd6c40baf23ac1/0_70_2644_1587/500.jpg","","","New league, same old Haaland. Any fears that a move to the Premier League from the Bundesliga would slow down the goalscoring prowess of the 22-year-old Norwegian vanished within a few weeks of the 2022-23 season. At the time of writing he has 25 goals in 19 English top-flight games and a further five in four Champions League fixtures. Norway not qualifying for the World Cup gave him a rest but one wonders how high he would have finished on this list with a good showing in Qatar. Haaland moves into our top five for the first time but did finish more than 600 points behind Karim Benzema in third.","Marcus Christenson","","","day_4_scalpel.jpg"
"5","40","35","Luka Modric","Midfielder","CENTRE","Real Madrid","Spain","37","Croatia","Other nationalities, La Liga, Midfielders","Yes","","https://media.guim.co.uk/29bd1cdbab1dc14b83e666e56c1860e724deca26/565_1_823_823/500.jpg","","https://media.guim.co.uk/2de34801abc8d247bfc7b2d7f4fad5ed2277af27/0_177_2800_1681/500.jpg","","","“We all know how many lovely words have been written about Luka and what he has done, not just for Croatia but the whole world. Age comes to everyone, but he is immortal,” Andrej Kramaric said before Croatia’s last game at the World Cup – but not, fortunately, Modric’s last game for his country. Few could have blamed him for bowing out with a third place in Qatar to go with his runners-up medal from Russia, aged 37 and on 162 caps, having just won a fifth Champions League, but Modric goes on. And that is a joy.","Sid Lowe","","","day_4_scalpel.jpg"
"6","10","4","Kevin De Bruyne","Midfielder","CENTRE","Manchester City","England","31","Belgium","Other nationalities, Premier League, Midfielders","Yes","","https://media.guim.co.uk/8df9ecb7c8b415d1738a3657ea87e148bcab249a/1474_45_1192_1192/500.jpg","","https://media.guim.co.uk/00eab0ade09fc1c4d9fbfbd97f655346ef71d073/0_127_3070_1842/500.jpg","","","If there is a moment that sums up De Bruyne’s 2022 it has to be the driving run and low cross that led to İlkay Gündogan’s title-winning goal for Manchester City on the final day of last season. Once again City’s creator supreme came to the fore when they needed him most. De Bruyne assisted eight goals for Pep Guardiola’s team as they went about securing a fourth championship in five years and already had a further 10 this campaign prior to the World Cup. At the tournament itself the 31-year-old was an ineffective presence for a poor Belgium side but, overall, remains a supreme midfield talent. This is the fifth time he is in our top 10, a testament to his consistency.","Sachin Nakrani","","","day_4_scalpel.jpg"
"7","1","-6","Robert Lewandowski","Forward","CENTRE","Barcelona","Spain","34","Poland","Other nationalities, La Liga, Forwards","Yes","","https://media.guim.co.uk/d7207913562058cb5e15f15ffa594c247fd51330/1147_8_905_905/500.jpg","","https://media.guim.co.uk/78eee1b998de665f8694989d25e96980184dfa13/248_110_5107_3064/500.jpg","","","Everyone expected Lewandowski to be good as he joined Barcelona after eight prolific years at Bayern Munich, but he has been even better than anticipated. He has continued to score bucketloads of goals – 22 in 23 appearances in all competitions – and got Barça wins they arguably did not deserve, October’s 1-0 victory at Mallorca being a case in point. He also fulfilled a lifelong ambition by scoring at a World Cup for the first time. The joy on his face against Saudi Arabia said it all, showing that his love for goals has not diminished with age. Having been crowned the best player in the world by the Guardian two years in a row, he drops to seventh this time around.","Marcus Christenson","","","day_4_scalpel.jpg"
"8","31","23","Vinícius Júnior","Forward","LEFT","Real Madrid","Spain","22","Brazil","Brazilian, La Liga, Forwards","Yes","","https://media.guim.co.uk/769637b581c917aff6baebe00dc7d8886dc05723/807_800_1753_1754/500.jpg","","https://media.guim.co.uk/558d366f62a65998fca2ffbf07c17e19fdbb8b72/0_29_1899_1139/500.jpg","","","Spain’s best Viní since Samways. Asked not long ago why he was calmer in front of goal, the days when one-on-ones were no guarantee long gone, Vinícius replied: “I was younger then.” It was a simple reply but maybe necessary, a reminder of how early footballers are exposed. One thing’s certain: no one doubts Vinícius any more. Electric, willing to take on anyone, the focus of so much of Real Madrid’s attacking, his fourth season at the Bernabéu ended with 22 goals, 20 assists, more dribbles than anyone and the winning goal in the Champions League final, all before his 22nd birthday. A new entry to the top 10, he looks set to stay here for some time.","Sid Lowe","","","day_4_scalpel.jpg"
"9","53","44","Thibaut Courtois","Goalkeeper","CENTRE","Real Madrid","Spain","30","Belgium","Other nationalities, La Liga, Goalkeepers","Yes","","https://media.guim.co.uk/3e61d3dfb1b832565039d20b5d85f343df4ae92b/246_0_1667_1667/500.jpg","","https://media.guim.co.uk/95d066e01faf53e97e22be522f2f84625d58da93/0_13_1953_1172/500.jpg","","","“I don’t know what we’re supposed to do to beat Courtois. Pray maybe,” Rayo Vallecano’s Iván Balliu said. There was a bit of a fuss not long ago when one magazine left Courtois out of its list of the world’s 10 best goalkeepers. The only reasonable explanation was this was an “except Courtois” list, so manifestly superior was he to everyone else. Reached an absurd level in 2022, shown in the European Cup final and so many other nights. Made 59 Champions League saves, almost four times as many as Alisson. Up 44 places; genuinely could be up 50+.","Sid Lowe","","","day_4_scalpel.jpg"
"10","3","-7","Mohamed Salah","Forward","RIGHT","Liverpool","England","30","Egypt","Other nationalities, Premier League, Forwards","Yes","","https://media.guim.co.uk/7339b9eceb84a4caa1adf1e20bc486f3ea01ad17/1055_8_986_986/500.jpg","","https://media.guim.co.uk/03b1a8e668ec8890efbc73cbc85a092fcd873468/0_92_2595_1557/500.jpg","","","It says everything about the Liverpool forward’s remarkable output over many seasons that 2022 was not considered a vintage year for a player occupying his lowest position in our poll since 2017. Salah scored 31 goals for Liverpool in 2021-22 and 25 in a calender year that saw Jürgen Klopp’s side reach the Champions League final for the third time in five seasons. There were considerable disappointments along the way, including losing both the Africa Cup of Nations final and World Cup play-off on penalties to Senegal with Egypt. That burden took its toll but Salah’s status at the top of the game was reflected in Liverpool’s award of a new £350,000-a-week, three year contract, the most lucrative in the club’s history.","Andy Hunter","","","day_4_scalpel.jpg"
"11","23","12","Sadio Mané","Forward","LEFT","Bayern Munich","Germany","30","Senegal","Other nationalities, Bundesliga, Forwards","Yes","","https://media.guim.co.uk/4fbc0b8fd0f827ed2717a6cff7fc3a9cc22fa536/925_347_1650_1650/500.jpg","","https://media.guim.co.uk/a15637ce2f00ad294ddaa898b5ee83ca8ccbb917/0_61_3753_2252/500.jpg","","","One of the most reliable forwards in world football wears more than just the one crown in this year’s list – he is the highest-placed Bundesliga player and the second highest African player. Yet the extent of Mané’s worth is really underlined by the void he has left in his absences; from Liverpool, where his reliability and integral role in the collective press has been missed by Jürgen Klopp’s team since he left for Germany, and from Senegal, where his injury just before the World Cup left the African champions – and the football world – cursing the loss of a bona fide star.","Andy Brassell","","","day_4_scalpel.jpg"
"12","13","1","Neymar","Winger","LEFT","Paris Saint-Germain","France","30","Brazil","Brazilian, Ligue 1, Forwards","Yes","","https://media.guim.co.uk/74b4257194d4938549efc11d545b4bf2d8f8141b/1226_213_1431_1431/500.jpg","","https://media.guim.co.uk/908af6080d2a35724ed48b2779e7c977d7c52698/0_0_2969_1782/500.jpg","","","“I am psychologically destroyed,” read the Brazilian’s post-World Cup message after the Seleção had lost to Croatia. Despite disappointment in Doha, though, Neymar has managed to dispel doubts over his mindset by turning in his best calendar year since joining PSG. He overcame an ankle injury and the ire of fans to bounce back, then take that form into the new campaign. His 16 goals and 15 assists so far have seen him shine in Christophe Galtier’s new-look side. His injury issues flared up yet again in a truncated and ultimately fruitless World Cup campaign, although he did draw level with the late Pelé to become Brazil’s joint all-time top scorer with his 77th goal in that quarter-final against Croatia.","Raphaël Jucobin","","","day_4_scalpel.jpg"
"13","15","2","Harry Kane","Forward","CENTRE","Tottenham","England","29","England","English, Premier League, Forwards","Yes","","https://media.guim.co.uk/8cc90a0e308c7d5f9a337492fb279a842f36315d/1052_49_1187_1187/500.jpg","","https://media.guim.co.uk/74a55254a7940024d6b3ca1984de7d4dd9488cff/0_74_1499_899/500.jpg","","","The England captain, an ever-present on the list since making his debut in 2015, moves up two places this year but a big part of his 2022 will be that penalty miss against France at the World Cup. “I’ll probably remember it for the rest of my life, but that’s part of the game,” he said after the 4-0 win against Crystal Palace in early January in which he scored twice in typically ruthless fashion. “It’s not going to affect me as a player or as a person. I’ll keep working hard to improve.” He continued to do what he does best, which is to score goals, in 2022, being on target 26 times in 37 Premier League appearances.","Marcus Christenson","","","day_4_scalpel.jpg"
"14","72","58","Jude Bellingham","Midfielder","CENTRE","Borussia Dortmund","Germany","19","England","English, Bundesliga, Midfielders","Yes","","https://media.guim.co.uk/f62ffa87f76bb1ff77e233d6dab707a8e1dc686e/630_450_1243_1243/500.jpg","","https://media.guim.co.uk/b583ed0d6abeaee2de2607b43e95a8e7d22d8a6b/0_214_4000_2400/500.jpg","","","The second highest Englishman on the list soars up 58 places, and that feels like a fair barometer of just how Bellingham’s influence has grown. The teenager has been Borussia Dortmund’s best midfielder for a while but has found an extra gear since the summer arrival of Salih Özcan, encouraged to burst forward more and scoring in each of his club’s first four Champions League games. A natural leader and responsibility taker, Bellingham also had an outstanding World Cup, opening England’s scoring for the tournament against Iran and adding a different dimension to the midfield of Gareth Southgate’s side.","Andy Brassell","","","day_4_scalpel.jpg"
"15","68","53","Casemiro","Midfielder","CENTRE","Manchester United","England","30","Brazil","Brazilian, Premier League, Midfielders","Yes","","https://media.guim.co.uk/28539840146918eb48e7e29bfead20ec2edc2b19/175_196_1734_1734/500.jpg","","https://media.guim.co.uk/8eac35c0e256b88fab02aee8e1e848e5cd466055/705_392_3955_2373/500.jpg","","","The Brazil midfielder is in his highest ever position on the list, jumping up 53 places after helping secure his third La Liga title and fifth Champions League triumph before deciding he wanted a fresh challenge at Manchester United. The Premier League side were willing to part with £70m to bring in the 30-year-old and the outlay has started to pay dividends. Casemiro’s experience in front of the defence has transformed the side under Erik ten Hag’s tutelage. He may have hoped to add a World Cup winner’s medal to his haul but Brazil were knocked out at the quarter-final stage.","Will Unwin","","","day_4_scalpel.jpg"
"16","38","22","Achraf Hakimi","Defender","RIGHT","Paris Saint-Germain","France","24","Morocco","Other nationalities, Ligue 1, Defenders","Yes","","https://media.guim.co.uk/5f6dac377eb8f76843f8bed17f29c9a42838f9ef/561_346_3226_3226/500.jpg","","https://media.guim.co.uk/47f87553593ca072e55fb346bfc28a6780738bf3/0_93_3116_1870/500.jpg","","","After a somewhat indifferent start to the season, Hakimi sparked to life at the World Cup, albeit playing a more conservative role. It remains to be seen whether he can recapture that form for PSG in the new year, but he remains as exciting a young full-back as there is in the game. Able to affect play going forward as well as any full-back in the game, even if he is sometimes lacking in his positioning, his recovery pace and the threat he poses going forward makes him perfectly adept at pinning back opposing wingers – an archetypal modern full-back.","Eric Devin","","","day_4_scalpel.jpg"
"17","76","59","Antoine Griezmann","Forward","CENTRE","Atlético Madrid","Spain","31","France","French, La Liga, Forwards","Yes","","https://media.guim.co.uk/64005518defe610f79b2de21af461009989a6c1f/719_155_1157_1156/500.jpg","","https://media.guim.co.uk/c55b9d1774f271b66e7d59289cbc6bfacca2506f/0_12_2866_1720/500.jpg","","","The Frenchman returns to the top half of the list after a year in which he started to play his best football again, at a club he probably never should have left. All this despite the farcical contractual situation which meant that Atlético did not want him to play more than a half in many games because then they would have to pay Barcelona more for the two-year loan deal. Perhaps the reduced amount of minutes helped Griezmann at the World Cup because he was at his magical best in Qatar, the creative spark for the team as they reached the final – and nearly won it. Griezmann has made every top 100 list since his debut in 2014, finishing a career-high sixth in 2018 after France’s World Cup victory.","Marcus Christenson","","","day_4_scalpel.jpg"
"18","","Re-entry","Federico Valverde","Midfielder","CENTRE","Real Madrid","Spain","24","Uruguay","Other nationalities, La Liga, Midfielders","Yes","","https://media.guim.co.uk/19e308c17c71d53ad62e3adf200407fcc4389c82/674_0_841_841/500.jpg","","https://media.guim.co.uk/f2fb011f71f874f9038cea40807806954f4c9be6/0_102_4196_2519/500.jpg","","","“Fede Valverde top three in the world right now,” Toni Kroos tweeted after the Uruguayan took Barcelona apart in October. A re-entry after a year’s absence from the list he is straight back in at No 18. The footballer with four lungs, Valverde has turned the pitch on its side: normally defined horizontally – defence, midfield, attack – his position is defined vertically. He plays on the right, the whole of the right. And inside a bit too. Provided the pass for the winner in the Champions League final. Thunderous shot, endless running, bursting through barriers, a subtlety and wider range of passing has been added to his game.","Sid Lowe","","","day_4_scalpel.jpg"
"19","21","2","Pedri","Midfielder","CENTRE","Barcelona","Spain","20","Spain","Spanish, La Liga, Midfielders","Yes","","https://media.guim.co.uk/084793616261fec86d5a68998de8559704f1d7f6/779_0_691_690/500.jpg","","https://media.guim.co.uk/3119446a094aa01b288d194703447a17d308e05e/0_48_4108_2465/500.jpg","","","Some players get people up on their feet; Pedri gets them down on their backside. He does if it is Sevilla or Galatasaray defenders, anyway. A lovely goal against Sevilla in February, which was pretty much a copy of what he had done in Istanbul a fortnight earlier, offered a neat expression of his play: the touch, the pause, opponents sliding by out the way. All of it done with a smooth ease, socks low, that makes him feel like a footballer from another age. “It’s wonderful watching Pedri play. If we’re talking pure talent, he’s the best in the world,” says Xavi, his manager at Barcelona.","Sid Lowe","","","day_4_scalpel.jpg"
"20","52","32","Emiliano Martínez","Goalkeeper","CENTRE","Aston Villa","England","30","Argentina","Argentinian, Premier League, Goalkeepers","Yes","","https://media.guim.co.uk/81c733063f4915e2cba19d633f86a63a50748b6c/1310_0_1459_1459/500.jpg","","https://media.guim.co.uk/67ad76525f64eea9ad3a787fb51abb886f28c3fd/0_0_2378_1426/500.jpg","","","In emulating Ubaldo Fillol and Nery Pumpido as Argentina’s World Cup-winning goalkeepers, Martínez wrote himself into legend. Neither of those predecessors were required to be the decisive actor in penalty shootouts, as Martínez was against the Netherlands in the quarter-finals and then again in the final itself. His gamesmanship in those pressure situations won him cult status but he also made a crucial, match-winning contribution in open play when France’s Randal Kolo Muani seemed set to score in the last minute of extra time. The one-time Rotherham and Oxford loanee with a London tinge to his accent has come a long way.","John Brewin","","","day_4_scalpel.jpg"
"21","","New","Enzo Fernández","Midfielder","CENTRE","Benfica","Portugal","22","Argentina","Argentinian, Other leagues, Midfielders","Yes","","https://media.guim.co.uk/ec323c0503a4ff68a450d0115276259ec91f7fe7/1524_587_3061_3061/500.jpg","","https://media.guim.co.uk/f38b670ece8c8f0a5e6dc6916b46918cf1a56dfd/227_361_2897_1739/500.jpg","","","No other player made quite such a breakthrough in 2022. Fernández went from promising River Plate playmaker to a talent coveted by the entirety of Europe’s elite. Having made his Argentina debut on 24 September, he was a World Cup winner by 18 December, voted the best young player in the tournament. After moving to Benfica in July, Champions League performances against Paris Saint-Germain and Juventus announced him as a modern, creative, box-to-box midfielder for whom suitors would be prepared to pay a £105m release clause. Once Lionel Scaloni plumped for Fernández in midfield in Qatar, Argentina became a winning proposition.","John Brewin","","","day_4_scalpel.jpg"
"22","95","73","Bukayo Saka","Forward","RIGHT","Arsenal","England","21","England","English, Premier League, Forwards","Yes","","https://media.guim.co.uk/f809480aa11e7f8917451452035284b46dc4490b/1160_121_2298_2299/500.jpg","","https://media.guim.co.uk/c7617c610fc9b8b8526d06f2c14153415a54b138/0_121_4288_2573/500.jpg","","","Saka is the most important player in, on the evidence of the past six months, the Premier League’s best team. So it is no surprise that he is the highest climber in this year’s list. A 73-place rise reflects the astonishing level of consistency produced by a player who is still only 21; Saka scored 12 top-flight goals in 2022 from his position on the right of Arsenal’s attack and brushed aside fears of tiredness to produce a stunning first half of 2022-23. Match-winning performances against Liverpool and Manchester United tell only part of the story for a player who is explosively quick but deft, precise and diligent with it. Three goals at the World Cup emphasised that he is crucial to England’s prospects, too.","Nick Ames","","","day_4_scalpel.jpg"
"23","","New","Rafael Leão","Forward","LEFT","Milan","Italy","23","Portugal","Other nationalities, Serie A, Forwards","Yes","","https://media.guim.co.uk/3ff46e53f0dbc36cd4451339c72d11926da79154/2080_101_1841_1842/500.jpg","","https://media.guim.co.uk/30a5edc53b938c232cd620c3f063a43a67da7770/0_196_5920_3554/500.jpg","","","Milan’s manager, Stefano Pioli, used to worry that Leão did not take football seriously enough, grinning and laughing as he ran at opponents. Those worries faded as the winger carried the Rossoneri to their first Serie A title for more than a decade, shredding defences with spectacular dribbles. Leão was named as the league’s MVP with 11 goals and eight assists and began the new campaign striking twice to sink Inter in the derby. He is the highest-ranked Portuguese player on our list yet was used only as an impact replacement at the World Cup, scoring twice in five substitute appearances.","Nicky Bandini","","","day_4_scalpel.jpg"
"24","25","1","Phil Foden","Midfielder","CENTRE","Manchester City","England","22","England","English, Premier League, Midfielders","Yes","","https://media.guim.co.uk/b5e7e855f3ad7e915afa282418bd003df4b3e865/1135_182_2224_2225/500.jpg","","https://media.guim.co.uk/6fa03872a542df16cf5d52e56a3ce3b16ea8d174/0_340_5139_3083/500.jpg","","","“I’ve never seen someone like Phil at that age, the ability he’s got is frightening.” That was John Stones’s assessment of his Manchester City teammate after they played together for England in the 3-0 victory over Wales at the World Cup and Foden more than lived up to the billing in the next game, providing two assists as Gareth Southgate’s side dismantled Senegal in the last 16. Overall, 2022 was a year in which the 22-year-old firmly established himself as one of the most technically gifted young talents in Europe. He is up one place on this list and looks set to continue his rise in years to come.","Sachin Nakrani","","","day_4_scalpel.jpg"
"25","","New","Jamal Musiala","Midfielder","CENTRE","Bayern Munich","Germany","19","Germany","German, Bundesliga, Midfielders","Yes","","https://media.guim.co.uk/020c09c4c816d39b594b9af7605256ae218cc522/718_251_1457_1457/500.jpg","","https://media.guim.co.uk/97e2bc86f0ade5e2c2fa1e8d16799300ee47cc04/0_102_3294_1976/500.jpg","","","Germany’s World Cup campaign was heavily laced with disappointment but the bright spot was that they clearly have a new star on the horizon. Midfielder Musiala has been a talent for a while, and is always positive and confident on the ball. After Robert Lewandowski’s departure from Bayern the goalscoring load was always going to be a collective responsibility but Musiala has seized the mantle more than most, with nine goals and six assists in his first 15 Bundesliga games of this season. The numbers only partly describe his pace and incision, which made him Germany’s standout player in Qatar.","Andy Brassell","","","day_4_scalpel.jpg"
"26","39","13","Son Heung-min","Forward","LEFT","Tottenham","England","30","South Korea","Other nationalities, Premier League, Forwards","Yes","","https://media.guim.co.uk/eca74c3380d9bf8c369f046812774e6ce2c967a6/1216_32_2272_2272/500.jpg","","https://media.guim.co.uk/a7fe492befba2227d430d7e660f7f85cd8711845/358_397_6684_4012/500.jpg","","","Son has risen 13 places and it is fair to say that is largely based on his performances in the first half of 2022. He was supreme for Tottenham as they went about securing a top-four place, scoring 15 goals and providing six assists from New Year’s Day up until the final day of last season. It meant he shared the Golden Boot award with Mohamed Salah. Ever since then, however, the forward has not been his usual self, literally in regards to having to wear a face mask after suffering an eye fracture in November. It was a prominent feature of the 30-year-old’s World Cup as he struggled to make an impact for South Korea.","Sachin Nakrani","","","day_4_scalpel.jpg"
"27","43","16","Virgil van Dijk","Defender","CENTRE","Liverpool","England","31","Netherlands","Other nationalities, Premier League, Defenders","Yes","","https://media.guim.co.uk/d19a5dcda51e61b0b364c45fa952f4e6eeddf241/839_45_1290_1290/500.jpg","","https://media.guim.co.uk/5260641128ff6faceb179695b84bd29a4739ae59/0_2_5100_3059/500.jpg","","","Questions over the Liverpool defender’s recovery from a serious knee injury – which accounted for him dropping down the ratings in 2021 – were answered in convincing style as Van Dijk recaptured the form and authority that makes him such a vital part of Jürgen Klopp’s team. Van Dijk played 51 games last season as Liverpool won the FA and Carabao Cups, reached the Champions League final and missed out on the Premier League title on the final day of the season. The 31-year-old was nominated for the Ballon d’Or once again in 2022 and was also included in the PFA Premier League team of the year.","Andy Hunter","","","day_4_scalpel.jpg"
"28","16","-12","Bruno Fernandes","Midfielder","CENTRE","Manchester United","England","28","Portugal","Other nationalities, Premier League, Midfielders","Yes","","https://media.guim.co.uk/607ca44701f9eb46982ad81c5d101f74ef8e9366/2498_699_1366_1367/500.jpg","","https://media.guim.co.uk/145ce63eb1f540b2e17b983ff43f1d6759190f4e/417_62_3136_1882/500.jpg","","","Held things together for Manchester United during their meek ending to the 2021-22 season. Like many at Old Trafford, he has improved since Erik ten Hag’s arrival in the summer. Operating behind the central striker or occasionally out wide, the midfielder has been an integral part of the plan to turn United around this season, scoring the equaliser in a 2-1 win against City in the Manchester derby. Fernandes also enjoyed an impressive World Cup, scoring twice in a group-stage win over Uruguay and supplying three assists throughout the tournament.","Will Unwin","","","day_4_scalpel.jpg"
"29","45","16","Bernardo Silva","Midfielder","CENTRE","Manchester City","England","28","Portugal","Other nationalities, Premier League, Midfielders","Yes","","https://media.guim.co.uk/96f57de27c92937a40f308c53ef9dafed8dee54e/2009_662_2929_2929/500.jpg","","https://media.guim.co.uk/e66f750bb0da1b2025e0e19b9463093898644a76/0_66_3500_2101/500.jpg","","","A second year of moving up the list after dropping from his 2019 high of 16. Much of the summer was spent listening to rumours about Silva’s future at Manchester City with Barcelona circling but Pep Guardiola was adamant that the midfielder did not leave, describing him as “irreplaceable”. Silva proved his manager right with five assists in his opening 13 appearances of the 2022-23 season, scoring crucial goals against Newcastle and Crystal Palace. He failed to match that form at the World Cup, however, as Portugal were unable to pick Morocco’s lock in their quarter-final and the national team were knocked out with him failing to create a goal in the tournament.","Will Unwin","","","day_4_scalpel.jpg"
"30","","Re-entry","Olivier Giroud","Forward","CENTRE","Milan","Italy","36","France","French, Serie A, Forwards","Yes","","https://media.guim.co.uk/15f7b7cf699c000bb864f28201e72f2a7d169419/1542_168_2615_2615/500.jpg","","https://media.guim.co.uk/f22ebfe062ebbb46c6dcab5c1450de4546ce543c/0_39_3128_1878/500.jpg","","","With every passing year, the Giroud punchlines ring a little more hollow. For much of his time in the Premier League, the consensus was that, on a bad day, he could start up front for Banjo Rovers against AFC Barndoor and fail to get a shot on target. This is a player who, in 2022 alone, helped Milan to their first scudetto in over a decade and scored four goals at the World Cup, dumping out England along the way. He has now won major silverware in three different countries, including the Champions League with Chelsea, and come within a whisker of winning the World Cup for a second time. Ungainly but beautiful, inefficient but effective, adored but ridiculed: Giroud is a joyous enigma and ultimately a player who will live long in the memory. At the World Cup he overtook Thierry Henry as France’s record goalscorer.","Will Magee","","","day_4_scalpel.jpg"
"31","","New","Josko Gvardiol","Defender","CENTRE","RB Leipzig","Germany","21","Croatia ","Other nationalities, Bundesliga, Defenders","Yes","","https://media.guim.co.uk/a700bf05be4e25db5deb733fdd05cd4eb0e91f32/1703_28_1764_1765/500.jpg","","https://media.guim.co.uk/3086a609564adc4b8b0298e0b7ad941456a1675c/0_109_2943_1767/500.jpg","","","Gvardiol was clearly the best defender at the World Cup and a huge part of Croatia’s surprise snaring of third place in the tournament. Zlatko Dalic’s team are celebrated for their experience but their premier centre-back, who celebrated his 21st birthday this week, pointed the way to a bright future. After years of those in the game lamenting the paucity of top-quality centre-backs a plethora are surfacing, led by Gvardiol, who is the man for any number of situations; strong and composed in a back four or a back three, and more than competent at left-back as well, leaving his club RB Leipzig sitting on a goldmine. A newcomer to this list but set to remain on it for years.","Andy Brassell","","","day_4_scalpel.jpg"
"32","91","59","Julián Álvarez","Forward","RIGHT","Manchester City","England","22","Argentina","Argentinian, Premier League, Forwards","Yes","","https://media.guim.co.uk/45283e9336b6418bb2d7e7a9a5819d2472f09f28/1828_113_1149_1149/500.jpg","","https://media.guim.co.uk/1ea7864a0d1179938df3c16a0f6355703020f431/0_44_6000_3600/500.jpg","","","The striker was way down in 91st place last year but has made a rapid rise thanks to his successful move to Manchester City and the little matter of winning a World Cup. His four goals for Argentina in Qatar put him joint third on the scoring lists. At club level Álvarez has had to spend time playing understudy to Erling Haaland, although there is no shame in that. Many expected him to go out on loan after joining City but he quickly impressed the coaching staff with Pep Guardiola saying: “I am surprised by how good he is.” Despite not being a regular, he has settled into life in Manchester well, looking especially effective in cup competitions, already scoring in the FA Cup, Carabao Cup and Champions League for City.","Will Unwin","","","day_4_scalpel.jpg"
"33","","New","Christopher Nkunku","Forward","CENTRE","RB Leipzig","Germany","25","France","French, Bundesliga, Forwards","Yes","","https://media.guim.co.uk/4185013a9b8da573aca95bbd14975c4b130e33bc/1043_294_1217_1217/500.jpg","","https://media.guim.co.uk/1c934d4df2ec8461dc9d3cc7f810f611921882f8/0_170_3183_1910/500.jpg","","","The 2021-22 Bundesliga player of the season is set to join Chelsea come the summer, following the same route from Leipzig to west London as Timo Werner, though it is hoped with rather more success. Chelsea fans were denied a close look at him when he missed France’s World Cup campaign with a knee ligament injury. Until that setback he had replicated the form of the previous season, entering the winter break as the Bundesliga’s leading scorer. In Germany, his mix of speed and movement has been near irresistible, with Chelsea happy to meet his £53m release clause to solve their striking problems.","John Brewin","","","day_4_scalpel.jpg"
