"year","rank","name","position","age","nationality","club","league"
"2022",49,"Stina Blackstenius","Forward",26,"Sweden","Arsenal","England"
"2022",50,"Jenni Hermoso","Forward",32,"Spain","Pachuca","Mexico"
"2022",51,"Caroline Weir","Midfielder",27,"Scotland","Real Madrid","Spain"
"2022",52,"Guro Reiten","Midfielder",28,"Norway","Chelsea","England"
"2022",53,"Ella Toone","Midfielder",23,"England","Manchester United","England"
"2022",54,"Giulia Gwinn","Midfielder",23,"Germany","Bayern Munich","Germany"
"2022",55,"Kim Little","Midfielder",32,"Scotland","Arsenal","England"
"2022",56,"Erin Cuthbert","Midfielder",24,"Scotland","Chelsea","England"
"2022",57,"Ashley Lawrence","Defender",27,"Canada","PSG","France"
"2022",58,"Mariona Caldentey ","Forward",26,"Spain","Barcelona","Spain"
"2022",59,"Svenja Huth","Forward",31,"Germany","Wolfsburg","Germany"
"2022",60,"Jill Roord","Midfielder",25,"Netherlands","Wolfsburg","Germany"
"2022",61,"Caitlin Foord","Forward",28,"Australia","Arsenal","England"
"2022",62,"Khadija Shaw","Forward",25,"Jamaica","Manchester City","England"
"2022",63,"Jessie Fleming","Midfielder",24,"Canada","Chelsea","England"
"2022",64,"Merle Frohms  ","Goalkeeper",27,"Germany","Wolfsburg","Germany"
"2022",65,"Ona Batlle","Defender",23,"Spain","Manchester United","England"
"2022",66,"Naomi Girma","Defender",22,"USA","San Diego Wave","USA"
"2022",67,"Kosovare Asllani","Midfielder",33,"Sweden","Milan","Italy"
"2022",68,"Rachel Daly","Forward",31,"England","Aston Villa","England"
"2022",69,"Sara Däbritz","Midfielder",27,"Germany","Lyon","France"
"2022",70,"Megan Rapinoe","Forward",37,"USA","OL Reign","USA"
"2022",71,"Ellie Carpenter","Defender",22,"Australia","Lyon","France"
"2022",72,"Geyse ","Forward",24,"Brazil","Barcelona","Spain"
"2022",73,"Yui Hasegawa","Midfielder",25,"Japan","Manchester City","England"
"2022",74,"Linda Caicedo","Forward",17,"Colombia","Deportivo Cali","Colombia"
"2022",75,"Daniëlle van de Donk","Midfielder",31,"Netherlands","Lyon","France"
"2022",76,"Christine Sinclair","Forward",39,"Canada","Portland Thorns","USA"
"2022",77,"Kailen Sheridan","Goalkeeper",27,"Canada","San Diego Wave","USA"
"2022",78,"Lia Wälti","Midfielder",29,"Switzerland","Arsenal","England"
"2022",79,"Melvine Malard","Forward",22,"France","Lyon","France"
"2022",80,"Tabea Wassmuth","Forward",26,"Germany","Wolfsburg","Germany"
"2022",81,"Jess Fishlock","Midfielder",35,"Wales","OL Reign","USA"
"2022",82,"Kerolin","Forward",23,"Brazil","North Carolina Courage","USA"
"2022",83,"Sarah Zadrazil  ","Midfielder",29,"Austria","Bayern Munich","Germany"
"2022",84,"Rafaelle  ","Defender",31,"Brazil","Arsenal","England"
"2022",85,"Ji So-yun","Midfielder",31,"South Korea","Suwon","South Korea"
"2022",86,"Pauline Peyraud-Magnin  ","Goalkeeper",30,"France","Juventus","Italy"
"2022",87,"Chloe Kelly","Forward",24,"England","Manchester City","England"
"2022",88,"Mia Fishel","Forward",21,"USA","Tigres UANL","Mexico"
"2022",89,"Hina Sugita","Midfielder",25,"Japan","Portland Thorns","USA"
"2022",90,"Esther González","Forward",30,"Spain","Real Madrid","Spain"
"2022",91,"Athenea del Castillo","Forward",22,"Spain","Real Madrid","Spain"
"2022",92,"Saki Kumagai  ","Midfielder",32,"Japan","Bayern Munich","Germany"
"2022",93,"Becky Sauerbrunn  ","Defender",37,"USA","Portland Thorns","USA"
"2022",94,"Marina Hegering","Defender",32,"Germany","Wolfsburg","Germany"
"2022",95,"Daphne van Domselaar  ","Goalkeeper",22,"Netherlands","Twente","Netherlands"
"2022",96,"Linda Dallmann","Midfielder",28,"Germany","Bayern Munich","Germany"
"2022",97,"Barbara Bonansea","Forward",31,"Italy","Juventus","Italy"
"2022",98,"Jule Brand","Forward",20,"Germany","Wolfsburg","Germany"
"2022",99,"Melchie Dumornay","Forward",19,"Haiti","Stade de Reims","France"
"2022",100,"Kathrin Hendrich","Defender",30,"Germany","Wolfsburg","Germany"
