"X2013","X2012","Name","Position","Club","Nationality","Age.at.Dec.20.2013"
84,"NE","Juan Zuniga","Defender","Napoli","Colombia",28
85,"NE","Lukasz Piszczek","Defender","Borussia Dortmund","Poland",28
86,"NE","Marquinhos","Defender","PSG","Brazil",19
87,"NE","Mehdi Benatia","Defender","Roma","Morocco",26
88,"NE","Frank Lampard","Midfielder","Chelsea","England",35
89,"94","Shinji Kagawa","Midfielder","Manchester Utd","Japan",24
90,"NE","Koke","Midfielder","Atlético Madrid","Spain",21
91,"NE","Yohan Cabaye","Midfielder","Newcastle Utd","France",27
92,"NE","Lucas Moura","Midfielder","PSG","Brazil",21
93,"NE","Blaise Matuidi","Midfielder","PSG","France",26
94,"NE","Isco","Midfielder","Real Madrid","Spain",21
95,"NE","Alexis Sánchez","Forward","Barcelona","Chile",25
96,"NE","Asmir Begovic","Goalkeeper","Stoke City","Bosnia-Herzegovina",26
97,"NE","Emmanuel Emenike","Forward","Fenerbahce","Nigeria",26
98,"NE","Branislav Ivanovic","Defender","Chelsea","Serbia",29
99,"98","Javi Martinez","Defender/midfielder","Bayern Munich","Spain",25
100,"58","Eden Hazard","Midfielder","Chelsea","Belgium",22
