"sheets.players.rankString","sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.20.Dec.2017","sheets.players.League","sheets.players.Age.on.20.Dec.2017","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.To.be.subbed.by","sheets.players.Subbed","sheets.players.Revised","sheets.furniture.headline","sheets.furniture.standfirst","sheets.furniture.pagestrap","sheets.furniture.shareurl"
"1","1","2","1","Lionel Messi","Forward","Barcelona","Spain","30","Argentina","Argentinian, La Liga, Forwards","","","https://media.guim.co.uk/c78306d0a984c9c98d7f8b83248af0be55e98b16/1518_237_2175_2175","cropRatio=2175,2175&size=140,500,1000,2000,2175","https://media.guim.co.uk/a7c6c5b15e5039e811a776f1c68f9120b494fa06/0_136_3564_2138","cropRatio=3564,2138&size=140,500,1000,2000,3564","","There were only four goals, and no assists, in Messi’s seven international appearances this year as Argentina laboured through World Cup qualification, but three of them came in a win-or-bust final group match against Ecuador in Quito, in which the visitors found themselves a goal down inside 45 seconds. What followed <a href=""https://www.theguardian.com/football/2017/oct/11/lionel-messi-hat-trick-secures-argentinas-passage-to-world-cup"">was a brilliant individual performance</a>, which dragged an underperforming team to Russia. ""Today luckily the nationality of the best player in the world is Argentinian,"" said Jorge Sampaoli, their manager, afterwards. ""Messi does not owe a World Cup to Argentina – football owes a World Cup to Messi. He is the best player in history."" This has not been Messi’s most gilded year: last season Barcelona came second to Real Madrid in La Liga and were <a href=""https://www.theguardian.com/football/2017/apr/19/barcelona-juventus-champions-league-quarter-final-match-report"">knocked out of the Champions League by Juventus</a> in the quarter-finals, with the Copa del Rey – in which Messi scored and was named man of the match in the final, <a href=""https://www.theguardian.com/football/2017/may/27/barcelona-alaves-copa-del-rey-final"">won 3-1 against Alavés</a> – their only silverware. But still he has shone, outscoring and out-assisting Cristiano Ronaldo over the calendar year by a comfortable margin, and in November he <a href=""https://www.theguardian.com/football/2017/nov/25/lionel-messi-new-barcelona-deal-2021"">signed a massively lucrative new contract</a> that will keep him at the Camp Nou until the summer of 2021. The voting among our 169 judges was incredibly close but Messi just edged his great rival Ronaldo and retakes the No1 spot in this year’s top 100.","Simon Burnton","200","MC","PC","PC","NA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"2","2","1","-1","Cristiano Ronaldo","Forward","Real Madrid","Spain","32","Portugal","Other nationalities, La Liga, Forwards","","","https://media.guim.co.uk/d02b6ff0ad506ba6804b6c4170b254e37a3faa34/773_152_775_775","cropRatio=775,775&size=140,500,775","https://media.guim.co.uk/2edec2ef099281de1463c32a5d8a6507bc3b90f4/0_181_3500_2101","cropRatio=3500,2101&size=140,500,1000,2000,3500","","Those who doubted whether, at 32, the best days were behind Portugal’s talisman have been provided with a definitive answer as Ronaldo continues to set new standards. Rounded off the year by <a href=""https://www.theguardian.com/football/2017/dec/07/cristiano-ronaldo-ballon-d-or-equal-messi"">winning a record-equalling fifth Ballon d’Or</a> ahead of Lionel Messi a few days after becoming the first player <a href=""https://www.theguardian.com/football/2017/dec/06/champions-league-round-up-cristiano-ronaldo"">to score in every Champions League group stage match</a>. That he misses out on top spot to his arch-rival in this year’s Guardian list having taken the plaudits 12 months ago probably owes much to the fact that his overall goals tally is slightly down on this time last year, although it is still the seventh year in a row that he has topped the half-century mark for club and country. In any case the voting among our 169 judges was incredibly close. Having guided Portugal to a surprise victory at Euro 2016, Ronaldo’s next challenge is to inspire them to a repeat performance at the World Cup, although a treacherous group that includes Spain may represent too much to ask for even a player of his ability. Before then, Real Madrid’s tie against Paris Saint-Germain in the last 16 of the Champions League will provide an intriguing comparison between him and two of the players tipped to take his mantle one day – Neymar and the teenager Kylian Mbappé.","Ed Aarons","200","MC√","PC","PC","NA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"3","3","5","2","Neymar","Forward","Paris St-Germain","France","25","Brazil","Brazilian, Ligue 1, Forwards","","","https://media.guim.co.uk/4347212dc22e3e5ff5b6f32f5eadbd25a9260934/501_37_1689_1689","cropRatio=1689,1689&size=140,500,1000,1689","https://media.guim.co.uk/90247538b4f12f0cd84aeff2238ee4d17de12610/0_0_5384_3230","cropRatio=5384,3230&size=140,500,1000,2000,5384","","The most expensive player in the history of world football and the man esteemed by many to be the next best thing after the joint phenomena of Messi and Ronaldo, for Neymar 2017 will go down as the year of the move. In swapping <a href=""https://www.theguardian.com/football/2017/aug/04/neymar-how-record-breaking-move-to-psg-unfolded"">Barcelona for Paris Saint-Germain</a> for the neat yet mind-boggling sum of €222m, he was at the centre of a transfer that provoked a new round of debate about the relationship between salaries and sporting virtues. Neymar’s status in the PSG project is vast. Leaving the Messi-Suárez-Neymar trident at Barcelona naturally asks different questions of the Brazilian. He has not had many problems scoring and creating goals for his new club. No doubt he can enjoy the fact that in the Champions League group stage from last season to this season Barcelona dropped from 20 to nine goals scored. Paris Saint-Germain’s trend over the same group stage went from 13 goals to 25. The Neymar effect has been an interesting one. Remarkably, aged 25 he is not so far away from a century of caps for the Seleção, and he will be the poster boy for Brazil at the World Cup once again.","Amy Lawrence","200","SMc√","PC","PC","NA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"4","4","13","9","Kevin De Bruyne","Midfielder","Manchester City","England","26","Belgium","Belgian, Premier League, Midfielders","","","https://media.guim.co.uk/f12d17d4170d41472ff96443099ed806839611cf/1739_237_2800_2800","cropRatio=2800,2800&size=140,500,1000,2000,2800","https://media.guim.co.uk/41b84eafdb48a0dd39f633388fca47a57d3ba32a/0_161_3476_2085","cropRatio=3476,2085&size=140,500,1000,2000,3476","","José Mourinho explained that Chelsea had to <a href=""https://www.theguardian.com/football/2014/jan/18/chelsea-sell-kevin-de-bruyne-wolfsburg"">sell Kevin De Bruyne to Wolfsburg in 2014</a> because the then 22-year-old, who made only five starts during his time at Stamford Bridge, was ""an upset kid … crying every day that he wanted to leave"". Understandable, perhaps, but it is now Chelsea who must think back to that and weep. At Manchester City De Bruyne has evolved into one of the world’s best creative midfielders. ""He is world class because he can do absolutely everything,"" says Pep Guardiola. Perhaps the most remarkable thing that the Belgian can do is coax the attacking intent out of any team-mate by rewarding any run with an impeccable quick pass that demands a similar finish. No one pulled strings in midfield as well as him during 2017. There is still scope for him to score more goals even though he is making progress on that front, as he demonstrated by <a href=""https://www.theguardian.com/football/2017/sep/30/chelsea-manchester-city-premier-league-match-report"">walloping in the winning goal for City at Chelsea in September</a>. De Bruyne’s quest for fulfilment also involves his country and, as he helped Belgium canter to the World Cup, he has called on his national team’s manager, Roberto Martínez, and players to improve if they are to achieve what they are capable of.  ","Paul Doyle","200","","PC","PC","NA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"5","5","33","28","Harry Kane","Forward","Tottenham Hotspur","England","24","England","English, Premier League, Forwards","","","https://media.guim.co.uk/6e5ded4bf295a242b7214b54d719f68f70585bf6/604_278_931_931","cropRatio=931,931&size=140,500,931","https://media.guim.co.uk/22a9e70da5de1f61983ef76fa3ae39250556ee50/0_140_3500_2101","cropRatio=3500,2101&size=140,500,1000,2000,3500","","When Pep Guardiola <a href=""https://www.theguardian.com/football/2017/oct/13/mauricio-pochettino-pep-guardiola-harry-kane-team-tottenham-gentleman"">described Tottenham Hotspur as ""the Harry Kane team,""</a> it went down predictably badly but there is little doubt that the talismanic striker has threatened to transcend his club. The 24-year-old has made no secret of his desire to rival Lionel Messi and Cristiano Ronaldo as the world’s top player and, during a jaw-dropping 2017, he has posted Messi and Ronaldo-type numbers. He finished last season with his second straight Premier League Golden Boot – he had been the runner-up to Sergio Agüero in 2014-15 – and he has carried his consistency into the Champions League, where a wider audience have come to appreciate his power, deceptive pace and dead-eyed instincts in front of goal. One of the special things about Kane is that he is not a confidence player. Missed chances do not affect him and nor do barren spells, such as his now traditional dry August. He scored 13 goals in eight matches for Tottenham and England in September. Zinedine Zidane called him <a href=""https://www.theguardian.com/football/2017/oct/16/harry-kane-tottenham-roma-totti-pochettino-real-madrid"">the ""complete No9""</a> and nobody was arguing while, at Tottenham, they can see from the data that he is in the best physical condition of his career. The consummate professional, Kane continually strives for the marginal gains in areas like nutrition and recovery. His trends are inexorably upwards.","David Hytner","200","MC√","PC","PC","NA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"6","6","12","6","Luka Modric","Midfielder","Real Madrid","Spain","32","Croatia","Other nationalities, La Liga, Midfielders","","","https://media.guim.co.uk/b2453451f96c41474f62f48425eb3eb601386919/2189_175_1587_1587","cropRatio=1587,1587&size=140,500,1000,1587","https://media.guim.co.uk/70191dd24cb013bd3f7e932d35d2a53046dcc1cc/96_211_3473_2085","cropRatio=3473,2085&size=140,500,1000,2000,3473","","Has Modric got better with age, or has his <a href=""https://www.theguardian.com/football/blog/2017/may/12/luka-modric-real-madrid-barney-ronay"">brilliance simply been taken for granted?</a> This is his first appearance in the top 10 and you would be forgiven wondering why it has taken so long. His influence on games has rarely fluctuated: it is near-impossible to find a footballer with comparable passing range and, just as importantly, with such finely-tuned instinct as to when a game needs speeding up or slowing down. The latter was shown in a masterful dousing of a raging Atlético Madrid fire during last season’s <a href=""https://www.theguardian.com/football/2017/may/10/atletico-madrid-real-madrid-champions-league-semi-final-second-leg-match-report"">Champions League semi-final second leg;</a> Modric went on to be influential in the second half of the final, upping the ante on a Real performance that took time to get going. Perhaps it has become easier to focus on his gifts now that Cristiano Ronaldo, the star of the show for so long, has become less explosive outside the penalty area. A single goal for Real in this calendar year hints at one reason for his lack of presence in the headlines; they would be an entirely different side without him though, and so would the Croatia team he captains, although that relationship has not quite been as simple. Modric and company <a href=""https://www.theguardian.com/football/2017/nov/12/croatia-draw-greece-qualify-2018-world-cup"">qualified for the World Cup</a> via the play-offs after the sacking of Ante Cacic, who he had notably refused to support as the national team tottered. Next summer’s tournament will probably be the last he competes in: 20 years since Croatia reached the last four, a similar performance would be befitting of his ability.","Nick Ames","200","SMc√","PC","PC","JA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"7","7","7","=","Robert Lewandowski","Forward","Bayern Munich","Germany","29","Poland","Other nationalities, Bundesliga, Forwards","","","https://media.guim.co.uk/fae4f072937bdfe1931f0bcc4a146e1a9338eee9/575_217_932_933","cropRatio=932,933&size=500,932","https://media.guim.co.uk/f19f7d1610c241c8e4cf2772e7d99d818867526f/0_57_3337_2004","cropRatio=3337,2004&size=140,500,1000,2000,3337","","An astonishing record that has seen Lewandowski score 53 goals in just 54 matches for club and country since the start of the year sees Poland’s talisman maintain his place in the top 10, although he is no longer the highest-ranked traditional No9 on the list having been overtaken by Harry Kane. Nonetheless, a new record that saw the 29-year-old become the first player to score 16 goals in a major European international qualifying campaign and <a href=""https://www.theguardian.com/football/2017/apr/29/bayern-munich-win-bundesliga-title-wolfsburg-match-report"">yet another Bundesliga winners’ medal</a> was just reward for a man who has now found the net more than 15 times every season since in 2011. In any other era, that would be enough to make him a contender for the top spot every season but, as he acknowledged in an interview this year, the presence of Lionel Messi and Cristiano Ronaldo has always restricted his chances. ""It might be every hundred years that two such good players play at the same time, so I’m happy to be playing in that same period,"" he said. Lewandowski also admitted in an interview last month that he could follow in the footsteps of André Villas-Boas when he retires and take up motor racing. Yet, with his instincts in front of goal showing no signs of diminishing, that may still be a few years away.","Ed Aarons","200","MC√","PC","PC","JA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"8","8","","New entry","Kylian Mbappé","Forward","Paris St-Germain","France","19","France","French, Ligue 1, Forwards","","","https://media.guim.co.uk/952017db252bfbdac8632ddc119fdc73b72e846f/1763_414_2050_2051","cropRatio=2050,2051&size=500,1000,2000,2050","https://media.guim.co.uk/4ac563217189db05f765321f7a36c5b888bdbfe0/0_136_3500_2099","cropRatio=3500,2099&size=140,500,1000,2000,3500","","If 2017 belonged to anyone outside of the Messi-Ronaldo duopoly, it is hard to look beyond Kylian Sanmi Mbappé Lottin, who began the year as a bright young thing causing a stir at Monaco, and ended it as the most <a href=""https://www.theguardian.com/football/2017/aug/31/psg-kylian-mbappe-signs-loan"">expensively transferred teenager</a> of all time in a deal that will cost PSG around €180m. As whirlwinds go, not many match the year Mbappé’s <a href=""https://www.theguardian.com/football/2017/apr/19/kylian-mbappe-teenage-monaco-striker-champions-league"">career caught fire</a> – a flurry of big and brilliant goals, league title, Champions League starring roles and an international debut came suddenly. Occasionally a player comes along and possesses the charisma of a generational talent and Mbappé has that. Compared by pundits to the Brazilian Ronaldo and his compatriot Thierry Henry because of his attacking power and panache, expectation is weighty. Coveted by all last summer after his sensational burst with Monaco, the natural ease with which he excelled in the Champions League, and his accelerated promotion to the French national team, Paris Saint-Germain won the prize. The only other teenager to make this top 100 is Christian Pulisic, ranked at 77. For Mbappé to be the highest new entry, straight into the top 10, is testament to the quality of his explosive arrival.","Amy Lawrence","200","SMc√","PC","PC","JA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"9","9","21","12","Toni Kroos","Midfielder","Real Madrid","Spain","27","Germany","German, La Liga, Midfielders","","","https://media.guim.co.uk/840d125beca9fe059d5af197900e2c4eeabef056/643_159_1575_1574","cropRatio=1575,1574&size=140,500,1000,1575","https://media.guim.co.uk/9ed264a7ab485df555f14cce8eaf2cabf17d9c28/0_153_2912_1747","cropRatio=2912,1747&size=140,500,1000,2000,2912","","Toni Kroos is a massive Robbie Williams fan, but that doesn’t mean he’s not cool – on the pitch, at least. As Real Madrid evolved into a more technical, controlling team, their game focused more on control, so Kroos played an ever more central role. Although it is not really his aim, he got more noticed, too – he’s up 12 places from last year – as he kept the ball always moving with pace and precision on route to Madrid winning a league and <a href=""https://www.theguardian.com/football/2017/jun/03/juventus-real-madrid-champions-league-final-match-report"">European Cup double</a> for the first time in 59 years. Precision may just be the word that best defines him, in fact. There’s an elegant efficiency about everything he does from his role just to the left of a midfield three (although it is true that he has occasionally suffered on those rare occasions when he is forced to play a less natural, more defensive role in the absence of Casemiro or when Madrid are under pressure). Kroos doesn’t score many but there is something of a signature goal emerging when he does: running on to the ball, struck cleanly, first time, curling along the floor, almost like a bowling ball on a polished lane, and going in by the post.","Sid Lowe","200","SMc√","PC","PC","JA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"10","10","35","25","Eden Hazard","Forward","Chelsea","England","26","Belgium","Belgian, Premier League, Forwards","","","https://media.guim.co.uk/1481b21ae230fa3ebd0b904eb5db3966fb28262f/255_141_2216_2216","cropRatio=2216,2216&size=140,500,1000,2000,2216","https://media.guim.co.uk/9f9abcb3c0d43f74d6d8062a47101b6067a7574a/0_346_5184_3110","cropRatio=5184,3110&size=140,500,1000,2000,5184","","Eden Hazard has been the creative inspiration for Chelsea’s two Premier League title successes in the last three years, all scuttling dribbles and sumptuous touches, and boasts a ruthless streak in front of goal which adds to his armoury. His significance to his club side was illustrated by Chelsea’s initial toils in their title defence while the Belgian was recovering from ankle surgery, <a href=""https://www.theguardian.com/football/2017/jun/05/chelsea-eden-hazard-miss-start-season-ankle-fracture"">undergone over the summer </a>. Yet Antonio Conte has now effectively challenged him to break the Lionel Messi and Cristiano Ronaldo duopoly when it comes to the Ballon d’Or. ""I like to call it a ‘sacred fire’, when you have it inside you, the will to win every game to score goals,"" said the Italian when asked recently about Hazard’s motivation to further his game. ""At this level you must have this type of situation. The flame can be big or little. When you have an inferno it means you are like Messi, Ronaldo, Neymar. Eden has right characteristics to fight with these giants."" That is a measure of his talent. Chelsea’s only real concern is whether they can convince the 26-year-old to sign a contract extension at Stamford Bridge in an attempt to snuff out the interminable <a href=""https://www.theguardian.com/football/2017/sep/15/football-transfer-rumours-eden-hazard-to-real-madrid-next-summer"">rumours of Real Madrid’s interest</a>. Hazard has always wanted to play for Zinedine Zidane. Should the Frenchman ever depart the Bernabéu, the Chelsea hierarchy would breathe a collective sigh of relief.","Dominic Fifield","200","MC√","PC","PC","JA","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
