"sheets.Sheet1.rank","sheets.Sheet1.lastyear","sheets.Sheet1.upordown","sheets.Sheet1.name","sheets.Sheet1.position","sheets.Sheet1.club","sheets.Sheet1.league","sheets.Sheet1.ageon20dec2014","sheets.Sheet1.nationality","sheets.Sheet1.birthplace","sheets.Sheet1.imagefound","sheets.Sheet1.videopath","sheets.Sheet1.mainimageurl500x500px","sheets.Sheet1.mainimageurllandscape900x506px","sheets.Sheet1.profile","sheets.Sheet1.writer","sheets.Sheet1.words","sheets.Sheet1.copyin","sheets.Sheet1.assigned","sheets.Sheet1.subbed","sheets.Sheet1.revised","sheets.Sheet1.rowNumber","updated","name"
21,"37","16","Xabi Alonso","Midfielder","Bayern Munich","Bundesliga",33,"Spain","Tolosa","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184688233/Xabi-Alonso-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184720409/Xabi-Alonso-002.jpg","There was, perhaps, a sense that last season was the beginning of the end for Alonso. His partnership in the centre of midfield with Luka Modric was crucial in providing a base for Real Madrid’s success in the Champions League (although he missed the final through suspension), but, with the club happy to release him, a poor World Cup hinted that his powers were beginning to wane. Not a bit of it. He’s had a new lease of life since joining Bayern Munich and is now the passing hub at the centre of one of the two stand-out club sides in Europe.","Jonathan Wilson",100,"√ MC","√ SMc","√ PC","√ SB",21,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
22,"95","73","Alexis Sánchez","Forward","Arsenal","Premier League",26,"Chile","Tocopila","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184586124/Alexis-Sanchez-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184631865/Alexis-Sanchez-002.jpg","Arsène Wenger is of the opinion that most of the world’s top strikers nowadays come from South America. It’s the “street fighting” qualities he admires, and Sánchez plays with a souped-up verve that brings such energy to the game. He dazzled at the World Cup for Chile, and it was Arsenal’s stroke of luck that Barcelona, needing to make room in their front line to enable their pursuit of Liverpool’s Luis Suárez, decided that Sánchez was expendable. His outstanding start to life in the Premier League – with 10 goals and five assists in his first 15 appearances – has been a shining light during a sticky period for Arsenal.","Amy Lawrence",100,"√ MC","√ SMc","√ SB","√ PC",22,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
23,"61","38","Luka Modric","Midfielder","Real Madrid","La Liga",29,"Croatia","Zadar","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184493428/Luka-Modric-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184532620/Luka-Modric-002.jpg","In Luka Modric’s first season in Madrid, an online poll asked supporters to vote for the season’s worst signings. Modric came out on top. It was absurd then; it looks even more ridiculous now. Having finally forgotten the flawed idea that he had to play just off the forwards, fans and critics have embraced him as a central midfielder who controls and creates, leading Madrid’s evolution in style on the way to a 10th European Cup. Few players shrug off pressure so easily: a quick pass and suddenly the horizon is clear. His year ends disappointingly, with a thigh injury, sustained while playing for Croatia in November, ruling him out for three months.","Sid Lowe",100,"√ MC","√ SMc","√ SB","√ PC",23,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
24,"34","10","Mario Götze","Midfielder","Bayern Munich","Bundesliga",22,"Germany","Memmingen","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419181979000/Mario-Gotze-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419182028248/Mario-Gotze--002.jpg","A versatile midfielder who looks at home on either wing, playing as a false nine or in his favoured role as a No10, Götze secured his place in football folklore in the World Cup final by scoring the winning goal in extra time. Summoned from the bench shortly before the end of normal time with instructions from his manager to “show the world you are better than Messi and can decide the World Cup”, his stylish strike certainly denied his Argentinian counterpart, though it would take rather a leap to suggest that makes Götze the better player. While there is no shame in not being quite as good as Messi, the feeling remains that there is still plenty more to come from a 22-year-old who, as ridiculous as it might sound, has yet to fulfil his obvious potential despite having pretty much already won it all with club and country. Having initially been a starter he was a bit-part player for the latter stages of the World Cup, while he was also a peripheral figure on the fringes of the Bayern first team last season. We can only conclude that it was his World Cup final heroics that moved him up rather than down in these rankings. Now an established and presumably more trusted regular in Pep Guardiola’s Bayern Munich side, it again seems fitting to conclude his pen picture with the sentiment: one feels this is just the beginning.","Barry Glendenning",300,"√ MC","√ SMc","√ PC","√ SB",24,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
25,"20","-5","Bastian Schweinsteiger","Midfielder","Bayern Munich","Bundesliga",30,"Germany","Kolbermoor","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184404437/Bastian-Schweinsteiger-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184444125/Bastian-Schweinsteiger-002.jpg","This was the year that Schweinsteiger collected his seventh Bundesliga title for an imperious Bayern side (nobody has ever won more than eight), helped Germany win the World Cup and was named as his country’s captain for the 2016 European Championship campaign. “Bastian is an absolute leader,” Joachim Löw said in September. “He unites all players behind him.” And yet it was also a year in which his influence arguably diminished, as injuries interrupted his playing time. But when he did play he radiated intelligence and passing acumen. “He is a strategist – you feel his presence,” says Manuel Neuer.","Paul Doyle",100,"√ MC","√ SMc","√ PC","√ SB",25,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
26,"4","-22","Franck Ribéry","Forward","Bayern Munich","Bundesliga",31,"France","Boulogne-sur-Mer","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184227889/Franck-Ribery-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184287087/Franck-Ribery-002.jpg","The French winger, a contender for the Ballon D’Or in 2013 having finished mightily close to the conventional top two of Cristiano Ronaldo and Lionel Messi in the voting, has suffered an injury-dogged year. It was a big personal blow for him to miss the World Cup with a back problem – at the age of 31 he is far from certain to be part of the scene in four years’ time. The fitness issues have seen him slip from fourth in last year’s Guardian Top 100 to 26th. Having returned as recently as October, he has recovered some strong form and scored his 100th goal for Bayern against Bayer Leverkusen earlier this month, in his 288th game.","Amy Lawrence",100,"√ MC","√ SMc","√ SB","√ PC",26,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
27,"63","36","Javier Mascherano","Midfielder","Barcelona","La Liga",30,"Argentina","San Lorenzo","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184045347/Javier-Mascherano-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184126358/Javier-Mascherano-002.jpg","Very well liked and commands enormous respect, not least because he talks about the game with depth and intelligence, but in truth his club season was a disappointing one, as Mascherano admitted. Then the Little Chief helped lead Argentina to the World Cup final in a position he has not occupied for his club for as long as anyone could remember and things fell into place. So good as a deep midfielder that in Catalonia people at last began to ask: “Hey, this Mascherano bloke, how about not playing him at centre-back?” Tellingly, Neymar recently revealed that his Ballon d’Or votes went to Messi, Ronaldo – and Mascherano.","Sid Lowe",100,"√ MC","√ SMc","√ SB","√ PC",27,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
28,"5","-23","Andrés Iniesta","Midfielder","Barcelona","La Liga",30,"Spain","Fuentealbilla","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419183900386/Andres-Iniesta-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419183992597/Andres-Iniesta-002.jpg","By his own lofty standards it’s been a disappointing year for the metronomic Barcelona and Spain passing machine, who drops 23 places from his top-five spot last year. Iniesta has endured one of those rare calendar years in which he has failed to win a trophy and was also forced to endure the ignominy of playing every minute of Spain’s hideous World Cup defence, after the high of winning the previous tournament in South Africa and scoring the final’s only goal. For all that, the 30-year-old from Fuentealbilla is nothing if not resilient and looks set to continue to conduct the Barcelona orchestra for some time yet.","Barry Glendenning",100,"√ MC","√ SMc","√ PC","√ SB",28,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
29,"21","-8","Andrea Pirlo","Midfielder","Juventus","Serie A",35,"Italy","Flero","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419183355893/Andrea-Pirlo-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419183388852/Andrea-Pirlo-002.jpg","Pirlo had more to lose than most from Juventus’s change of manager this summer: Antonio Conte’s successor, Massimiliano Allegri, had deemed the midfielder surplus to requirements at Milan just three years previously. But the coach knew better than to repeat his mistakes, and has kept Pirlo at the heart of his team. Although the player’s performances have been inconsistent this season, his vision and range of passing continue to mark him apart. There are few in the world who can strike a free-kick more cleanly, and Pirlo has lately reminded us, such as with the winner against Torino, that he can score from open play, too.","Paolo Bandini",100,"√ MC","√ SMc","√ SB","√ PC",29,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
30,"18","-12","Robert Lewandowski","Forward","Bayern Munich","Bundesliga",26,"Poland","Warsaw","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419182645676/Robert-Lewandowski--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419182705222/Robert-Lewandowski--002.jpg","It has been a challenging 2014 for Lewandowski, who has dropped 12 places from his 2013 ranking. He was the consummate professional when seeing out an awkward final six months of his contract at Borussia Dortmund, and has now had to adapt from being the man around whom a team was built to working in one full of superstars. His start in Munich has been solid if unspectacular but he has endured worse, having found his first six months in Dortmund in 2010 immensely frustrating as he struggled to break into the side. Continues to score regularly, and has the all-round game and mental toughness to succeed.","Andy Brassell",100,"√ MC","√ SMc","√ SB","√ PC",30,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
31,"17","-14","Thiago Silva","Defender","PSG","Ligue 1",30,"Brazil","Rio de Janeiro","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419182433963/Thiago-Silva-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419182506841/Thiago-Silva-002.jpg","Few players went into 2014 under as much pressure as the captain of Brazil. His performances at the World Cup were not as assured as usual but the team completely unravelled when he was suspended for the ill-fated match against Germany. He had gone into that tournament on the back of a successful club campaign, helping PSG to another league title and a strong showing in the Champions League, but this season has so far been below his normal high standards. His manager, Laurent Blanc, has suggested the player has not yet got over the World Cup ordeal, which may not be surprising given he now partners David Luiz at club level too.","Paul Doyle",100,"√ MC","√ SMc","√ PC","√ SB",31,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
32,"45","13","Sergio Ramos","Defender","Real Madrid","La Liga",28,"Spain","Camas, Seville","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419182302486/Sergio-Ramos-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419182358776/Sergio-Ramos-002.jpg","Quite apart from his tenacious defensive qualities, the Spaniard’s excellence from set pieces (at both ends of the pitch) has never been as critical as in this year’s Champions League final. Having scored twice in the away leg of the semi-final at Bayern Munich to put that result beyond doubt, Real’s search for La Décima was in peril as they trailed their city rivals Atlético in stoppage time of the final in Lisbon, until Ramos powered Luka Modic’s corner past Thibaut Courtois with a trademark header. It was the catalyst for pandemonium, extra time, and history. Ramos recently celebrated his 300th appearance for Real Madrid.","Amy Lawrence",100,"√ MC","√ SMc","√ PC","√ SB",32,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
33,"26","-7","Arturo Vidal","Midfielder","Juventus","Serie A",27,"Chile","Santiago","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419182083690/Arturo-Vidal--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419182156717/Arturo-Vidal--002.jpg","Troubled by a persistent knee injury and criticised by the press after getting caught up in a nightclub scuffle in October, following a fine World Cup Vidal has not endured the happiest of starts to the new Serie A season. His performances on the pitch have suffered, falling short of the high standards he set in previous campaigns. But Vidal remains an exceptional player, a muscular, ball-winning midfielder who constructs as well as he destroys. He even chips in with his share of goals, reaching double figures in each of the past two seasons. Juventus are confident that he will be back at his best before long.","Paolo Bandini",100,"√ MC","√ SMc","√ SB","√ PC",33,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
34,"","New","Diego Godín","Defender","Atlético Madrid","La Liga",28,"Uruguay","Rosario","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172937595/Diego-Godin-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172986815/Diego-Godin-002.jpg","Diego Godín scored the goal that clinched a first, seemingly impossible league title for Atlético Madrid since 1996, breaking up the Madrid-Barcelona stranglehold for the first time in a decade. He also scored the goal that, until the 94th minute, was on course to give Atlético Madrid an even more impossible European Cup – the first in their history. He also scored the goal that put Uruguay through against Italy at the World Cup, only for Luis Suárez to steal all the attention. Oh, and he defended brilliantly too, game after game after game. His astonishing performances merited a place on the Ballon d’Or shortlist.","Sid Lowe",100,"√ MC","√ SMc","√ PC","√ SB",34,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
35,"32","-3","David Silva","Midfielder","Manchester City","Premier League",28,"Spain","Arguineguin","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172622605/David-Silva-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172872142/David-Silva-002.jpg","Along with Sergio Agüero, the Spaniard is rated as the supreme footballer at City by his peers, a master of both ball and time who turns contests with a feint, precise pass, or jinking run. One charge against the 28-year-old is that he does not score enough goals, managing only two for his club this season at the time of writing – a disappointing return for a player who glides around games with such control. This may be a factor in Silva slipping three places in our list, as he scored a total of nine club goals in 2013, compared with just five so far in 2014. He did not have a good World Cup, although no member of the Spain squad excelled in Brazil.","Jamie Jackson",100,"√ MC","√ SMc","√ PC","√ SB",35,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
36,"29","-7","Cesc Fàbregas","Midfielder","Chelsea","Premier League",27,"Spain","Arenys de Mar","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172493101/Cesc-Fabregas--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172541106/Cesc-Fabregas--002.jpg","With his surging midfield runs and perceptive passing, Cesc Fàbregas has been the creative force behind Chelsea’s assault on this season’s title race. Leading the way on Premier League assists, the Spaniard has a keen eye for a killer pass for a team that so often fired blanks last season. Playing in a deeper role than expected, the stats confirm Fàbregas has already become one of the most influential creative midfielders in Premier League history. Perhaps tellingly, he was only a bit-part player in Spain’s disastrous defence of the World Cup.","Barry Glendenning",100,"√ MC","√ SMc","√ PC","√ SB",36,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
37,"42","5","Vincent Kompany","Defender","Manchester City","Premier League",28,"Belgium","Brussels","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172365900/Vincent-Kompany--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172418725/Vincent-Kompany--002.jpg","But for Steven Gerrard’s slip against Chelsea, Kompany could easily have been the man who lost the league for Manchester City, his late error allowing Philippe Coutinho to score the winner in their 3-2 defeat at Liverpool in April. That would have been harsh on City’s captain, though, and a sign of his resilience came when he scored in their title-clinching win over West Ham on the final day of last season. He has not been quite as dominant so far during this campaign, but you only need to look at the panic in City’s defence whenever he is missing through injury or suspension to see how highly Kompany is valued.","Jacob Steinberg",100,"√ SMc","√ SMc","√ PC","√ SB",37,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
38,"70","32","Arda Turan","Midfielder","Atlético Madrid","La Liga",27,"Turkey","Fatih","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172169851/Arda-Turan-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172309704/Arda-Turan-002.jpg","The bearded 27-year-old from Fatih became the first Turkish-born player to be presented with a La Liga winners’ medal after he proved instrumental in Atlético Madrid’s unexpected march to the title. A right-footed winger who usually plays on the left, Turan is renowned for his speed, close control and ability to take on and beat full-backs. He can also cross and takes a mean corner, while goals against Real Madrid and Juventus this season suggest that he is also a man for the big occasion. Has yet to shine consistently on the international stage for Turkey, however, who failed to qualify for the World Cup.","Barry Glendenning",100,"√ MC","√ SMc","√ PC","√ SB",38,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
39,"66","27","Mats Hummels","Defender","Borussia Dortmund","Bundesliga",26,"Germany","Bergisch Gladbach","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172035837/Mats-Hummels-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419172089359/Mats-Hummels-002.jpg","Many people believe that defending is becoming a lost art but that is not an accusation that can be levelled at Mats Hummels, whose performances for Germany at the World Cup were exemplary. He even scored the winner in the quarter-final against France and his performances were marked by the unflappability of his defending and also by how accomplished he was on the ball, making him a very modern centre-back. Perhaps the only reason he is not higher on the list is because injuries mean we have not seen more of him for Borussia Dortmund. They are a different side when Hummels is fit.","Jacob Steinberg",100,"√ MC","√ SMc","√ PC","√ SB",39,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
40,"23","-17","Marco Reus","Forward","Borussia Dortmund","Bundesliga",25,"Germany","Dortmund","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419171880529/Marco-Reus-002.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419171929310/Marco-Reus-002.jpg","Brazil might not have felt lucky this year but consider this: they might have lost by more than 7-1 if an ankle injury had not prevented Marco Reus from taking part in the World Cup. Reus had played a big role in Germany’s qualification, contributing five goals and three assists in six matches, before being denied the chance to grace the global stage. That injury, and several others, have hampered his club career too and go some way towards explaining Dortmund’s struggles. His standing remains so high, however, that virtually every top club in Europe hopes he chooses them if, as expected, he leaves next summer.","Paul Doyle",100,"√ MC","√ SMc","√ PC","√ SB",40,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
41,"46","5","Carlos Tevez","Forward","Juventus","Serie A",30,"Argentina","Buenos Aires","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419180513926/Carlos-Tevez-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419180588407/Carlos-Tevez-002.jpg","Omitted from Argentina’s World Cup squad despite scoring 19 goals in his first Serie A season with Juventus, Tevez has responded by coming back even stronger. Afforded greater freedom to drop deep and roam behind the attack for his club side, Tevez ended a five-year Champions League scoring drought in September and served up a Diego Maradona-esque goal against Parma in November, dribbling from his own half to the edge of the opposition area before finishing into the bottom corner. In between the two he was recalled to the Argentina national team by the new manager, Gerardo Martino. Better late than never.","Paolo Bandini",100,"√ MC","√ SMc","√ PC","√ SB",41,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
42,"90","48","Koke","Midfielder","Atlético Madrid","La Liga",22,"Spain","Madrid","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419175502892/Koke-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419175611195/Koke-002.jpg","At half-time in Spain’s match against Chile at the World Cup, Vicente del Bosque sent on Jorge Resurrección, or “Koke”, as he is better known. As it turned out, there would be no resurrection in Brazil but Koke is the man who will be expected to lead one now. He will be the creative fulcrum at the heart of the Spain midfield as they begin the post-Xavi era. A European Under-21 champion in 2013, his responsibility is growing. It is not just Spain either: Barcelona tried to sign Koke in the summer as they too embarked on the process of replacing Xavi, only to find that Atlético were not prepared to sell and Koke, who has come up through the club’s youth system and is an Atlético fan, was not prepared to push for a departure. For some, Koke’s introduction into the Spain team should have come sooner.  He was coming off the back of a superb season in which he was the most important creative player for the surprise league champions and had been vitally important in Europe too: his goal saw Atlético beat Barcelona in the quarter-finals. Last season, only Ángel Di María provided more assists in the Spanish league; so far this season, no one has provided more. His evolution is still ongoing. He reads the game well and passes impeccably, but he mostly played in a right-sided midfield role for Atlético last season, rather than in the middle; now he alternates and plays occasional games in the centre. Koke is not yet taking full control, but he soon will.","Sid Lowe",300,"√ MC","√ SMc","√ PC","√ SB",42,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
43,"28","-15","Wayne Rooney","Forward","Manchester United","Premier League",29,"England","Croxteth","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419180055730/Wayne-Rooney-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419180127766/Wayne-Rooney-002.jpg","He broke his World Cup goalscoring duck in Brazil, he became the captain of Manchester United and England and he won his 100th international cap. Overall, it has not been a terrible year for Wayne Rooney. And yet look how low he is on this list, having slipped from No28. True, he is still England’s best player and Louis van Gaal has been able to rely on him at United, but when it comes to the elite, Rooney is no longer part of the discussion. There is a spark missing. He remains an extremely effective player, and an especially fine finisher, but is the old magic still there?","Jacob Steinberg",100,"√ MC","√ SMc","√ SB","√ PC",43,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
44,"43","-1","David Alaba","Defender","Bayern Munich","Bundesliga",22,"Austria","Vienna","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419180366655/David-Alaba-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419180451347/David-Alaba-002.jpg","When Bayern Munich faced Manchester United in the quarter-finals of the Champions League, Pep Guardiola used an unusual tactic: he instructed his full-backs to drift inside into central midfield positions when Bayern had possession. Philipp Lahm had already played both roles for Guardiola, but Alaba was even more comfortable with this tactic. The Austrian is a brilliant all-rounder, dynamic enough to bomb forward down the touchline, yet intelligent enough to play in midfield for a Guardiola side, and creative enough to become an outright playmaker at international level. Others receive more attention, but Alaba could be Bayern’s most complete footballer.","Michael Cox",100,"√ SMc","√ SMc","√ PC","√ SB",44,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
45,"11","-34","Robin van Persie","Forward","Manchester United","Premier League",31,"Holland","Rotterdam","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419180236098/Robin-van-Persie-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419180288737/Robin-van-Persie-002.jpg","Few strikers have finished with the consistency and sheer variety of Van Persie in recent years but 2014 has at times been reminiscent of his stop-start early career. Twenty-one goals in 37 appearances for club and country is a more than respectable record but he struggled with injury early in the year and, despite a return to form domestically in recent weeks, has never quite looked comfortable at the post-Ferguson Manchester United. But the old instincts remain: an astonishing header against Spain at the World Cup was a reminder that, when he is in the groove, Van Persie has the capacity to improvise in ways that nobody else can.","Nick Ames",100,"√ SMc","√ SMc","√ PC","√ SB",45,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
46,"36","-10","Oscar","Midfielder","Chelsea","Premier League",23,"Brazil","Americana","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419179109598/Oscar-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419179870258/Oscar-002.jpg","After a disappointing World Cup, in which he was rather unfairly – given how Luiz Felipe Scolari’s system curtailed his freedom to roam – singled out for criticism by the public and media, Oscar has had a pretty good 2014-15 season for Chelsea so far with three goals and five assists for José Mourinho’s team in 14 games at the time of writing. He was one of the players the new Seleção manager, Dunga, kept on board after returning to the job to pick up the pieces after the World Cup. Oscar will have to work hard to win back the fans in his homeland, but make no mistake: he is crucial for Brazil’s future. ","Fernando Duarte",100,"√ MC","√ SMc","√ PC","√ SB",46,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
47,"13","-34","Edinson Cavani","Forward","PSG","Ligue 1",27,"Uruguay","Danubio","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419178778937/Edinson-Cavani-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419178826686/Edinson-Cavani-002.jpg","Cavani’s name still seems to appear whenever a top Premier League club is linked with a centre-forward but his stock has fallen during a patchy year. After a barnstorming start to his PSG career he only scored six times between January and May, subsequently failing to impress at a World Cup where a penalty against Costa Rica was his major contribution for Uruguay. A one-in-two ratio this term has hardly been a bad return for Cavani, who is as formidable an all-rounder as they come when firing, but he is capable of better and if he and his strike partner, Zlatan Ibrahimovic, do not see eye to eye, as rumoured, it is unlikely to help his form.","Nick Ames",100,"√ SMc","√ SMc","√ SB","√ PC",47,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
48,"","New","Nemanja Matic","Midfielder","Chelsea","Premier League",26,"Serbia","Ub","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419178577294/Nemanja-Matic-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419178640106/Nemanja-Matic-002.jpg","Conventional wisdom says you should never go back, but since returning to Chelsea in January for £21m, about seven times more than his value when Benfica signed him from Chelsea three years earlier, Matic has emerged as one of the best holding players in the Premier League: mobile, tactically intelligent, a good passer of the ball and capable of making a tackle. That Chelsea’s first defeat of the season came in the first game he missed, at Newcastle, seems significant: he protects John Terry and Gary Cahill, allowing them to sit deep, and provides a platform for the more creative Cesc Fàbregas and Oscar.","Jonathan Wilson",100,"√ MC","√ SMc","√ SB","√ PC",48,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
49,"","New","Ivan Rakitić","Midfielder","Barcelona","La Liga",26,"Croatia","Möhlin, Switzerland","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419178489759/Ivan-Rakitic-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419178540229/Ivan-Rakitic-002.jpg","When Rakitic first emerged at Basel and then Schalke, he tended to be used wide on the left, but his conversion into a more central playmaker, often operating quite deep, after his move to Sevilla in 2011 was the making of him. He created 100 chances in the 2012-13 season, the fourth highest total in Europe, and then scored 13 goals and set up 17 last season as he helped Sevilla win the Europa League. At 26, he is just reaching his peak and should be ideally suited to creating chances for Barcelona’s extraordinary front three. His midfield partnership with Luka Modric has been a major factor in Croatia’s good form since the World Cup.","Jonathan Wilson",100,"√ MC","√ SMc","√ PC","√ SB",49,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
