"sheets.Sheet1.rank","sheets.Sheet1.lastyear","sheets.Sheet1.upordown","sheets.Sheet1.name","sheets.Sheet1.position","sheets.Sheet1.club","sheets.Sheet1.league","sheets.Sheet1.ageon20dec2014","sheets.Sheet1.nationality","sheets.Sheet1.birthplace","sheets.Sheet1.imagefound","sheets.Sheet1.videopath","sheets.Sheet1.mainimageurl500x500px","sheets.Sheet1.mainimageurllandscape900x506px","sheets.Sheet1.profile","sheets.Sheet1.writer","sheets.Sheet1.words","sheets.Sheet1.copyin","sheets.Sheet1.assigned","sheets.Sheet1.subbed","sheets.Sheet1.revised","sheets.Sheet1.rowNumber","updated","name"
11,"40","29","Toni Kroos","Midfielder","Real Madrid","La Liga",24,"Germany","Greifswald","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185605589/Toni-Kroos--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185644203/Toni-Kroos--002.jpg","During the World Cup Johan Cruyff described Kroos’s play as “nearly perfect”. Statistically that view was backed up as Kroos was ranked top of all the players in Brazil last summer (earning a mark of 9.79 out of 10) on metrics based on passing, tackles, ground covered and goals. Real Madrid were delighted to have procured the services of such a refined modern midfielder from Bayern. His classy technique is welded onto his physical fitness – the feat of featuring in 90 games for club and country in the last 18 months was based on a programme of looking after himself extremely well. Kroos had a superb 2014.","Amy Lawrence",100,"√ MC","√ SMc","√ PC","√ SB",11,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
12,"35","23","Diego Costa","Forward","Chelsea","Premier League",26,"Brazil","Lagarto","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185499645/Diego-Costa-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185557180/Diego-Costa-002.jpg","A brute of a forward whose nomadic career through Portuguese and Spanish football finally found fulfilment last season at Atlético Madrid. His 35-goal tally took Diego Simeone’s fine team to the Primera Liga title and a Champions League final, where he was hamstrung and unable to contribute. Fitness issues then went on to hamper his impact for his adopted country, Spain, at the World Cup but, as a £32m Chelsea player, he then scored seven times in his first four Premier League fixtures. The focal point of José Mourinho’s side, he boasts the physical presence and aggression to thrive in English football, and looks set to do exactly that.","Dominic Fifield",100,"√ SMc","√ SMc","√ PC","√ SB",12,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
13,"3","-10","Zlatan Ibrahimovic","Forward","PSG","Ligue 1",33,"Sweden","Malmö","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185339589/Zlatan-Ibrahimovic-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185447538/Zlatan-Ibrahimovic-002.jpg","“A World Cup without me is not worth watching,” lamented Zlatan after his dream was dashed following a play-off with Cristiano Ronaldo’s Portugal. It speaks volumes for the global status of the singular Swede that an internet campaign “VemIbra” (Come here, Ibra), which included the likes of Ronaldo, Rai, Bebeto and loads of locals imploring him to go, went viral. The Swede made it to Brazil in the end, if only as a spectator. Now aged 33, he may be towards the end of his pomp, but he is still a potent marksman and inspiration for Paris Saint-Germain. He was the top scorer in France last season as PSG retained the league title.","Amy Lawrence",100,"√ MC","√ SMc","√ SB","√ PC",13,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
14,"72","58","Ángel Di María","Midfielder","Manchester United","Premier League",26,"Argentina","Rosario","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185216294/Angel-Di-Maria--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185290971/Angel-Di-Maria-002.jpg","Described by our La Liga correspondent, Sid Lowe, as the kind of player Real Madrid might have signed last year if they had not already got him, Ángel Di María was the stand-out performer in the Spanish side’s Champions League final win over their city rivals Atlético. One of the players of the tournament at the World Cup, where Argentina lost the final in their winger’s absence through injury, his summer move to Manchester United for a British record transfer fee of £59.7m has thus far been an unequivocal success. Quick, intelligent and blessed with great technique, “Fideo” moves up 58 places from last year’s 72.","Barry Glendenning",100,"√ MC","√ SMc","√ PC","√ SB",14,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
15,"","New","James Rodríguez","Forward","Real Madrid","La Liga",23,"Colombia","Cúcuta","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185121197/James-Rodriguez--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185167186/James-Rodriguez--002.jpg","The highest new entry on this year’s list, the Colombian figured in the top 10 of just over a third of our 73 judges. It was always likely that Real Madrid would use the World Cup as a kind of casting for their latest galáctico. They needed a new star to emerge and none did so more than James Rodríguez. Hardly a nobody – after all, he had cost £38.5m a year ago – ‘Hames’ was still a revelation in Brazil. Top goalscorer and scorer, against Uruguay, of the tournament’s top goal too. He has performed superbly since joining Madrid, with Carlo Ancelotti finding a role for him despite the absence of an obvious natural position in the lineup","Sid Lowe",100,"√ MC","√ SMc","√ SB","√ PC",15,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
16,"100","84","Eden Hazard","Midfielder","Chelsea","Premier League",23,"Belgium","La Louvière","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185028476/Eden-Hazard--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185064389/Eden-Hazard--002.jpg","Hazard has long been considered one of the most talented midfielders of his generation but has also been known to frustrate. Since returning to Stamford Bridge José Mourinho has prodded him constantly to try to make him more efficient. “It is the first time I have known this with a coach,” admitted Hazard. “The others tended to protect me. He really wants my potential to explode.” Hazard is not as influential as he should be for his country, as the World Cup proved, but he has become far more consistent for Chelsea – he was their leading assist-provider last season, though he is lagging well behind Cesc Fàbregas so far this season.","Paul Doyle",100,"√ MC","√ SMc","√ SB","√ PC",16,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
17,"47","30","Thibaut Courtois","Goalkeeper","Chelsea","Premier League",22,"Belgium","Bree","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184939434/Thibaut-Courtois-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184978711/Thibaut-Courtois-002.jpg","Excellent over three seasons as a key member of Diego Simeone’s triumphant Atlético Madrid side before returning to his parent club, Courtois has slipped seamlessly into life in the Premier League at Chelsea. Commanding and authoritative, even at 22, and a formidable presence albeit with a slender frame, he is the natural successor to Petr Cech and is already established as the club’s No1 having signed a new contract in September. His progress has been just as smooth with the Belgian national team, for whom he is first choice and played a major part in ensuring progress into the World Cup quarter-finals.","Dominic Fifield",100,"√ SMc","√ SMc","√ PC","√ SB",17,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
18,"19","1","Yaya Touré","Midfielder","Manchester City","Premier League",31,"Ivory Coast","Bouake","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184855337/Yaya-Toure-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184897463/Yaya-Toure-002.jpg","Touré’s PR was poor this year, his birthday cake outburst attracting ridicule and leading some people to dismiss him as a sulk when he made a slow start to the latest Premier League season, with some perhaps not taking sufficient account of the impact on Touré of the death of one of his brothers from cancer just before the World Cup. On the pitch the three-time and reigning African player of the year has been in better form of late, raising hopes that he is returning to the extraordinary standard that he set last season, when he was one of the most dominant midfielders in the world and plundered 20 Premier League goals.","Paul Doyle",100,"√ MC","√ SMc","√ SB","√ PC",18,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
19,"55","36","Karim Benzema","Forward","Real Madrid","La Liga",27,"France","Lyon","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184764639/Karim-Benzema-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419184802314/Karim-Benzema-002.jpg","Maybe he does not score as many as you would expect for a Real Madrid No9 but there should be no doubt about Karim Benzema’s importance to his club. His selfless leading of the line makes Madrid click in attack and his ego-free, intelligent movement creates the space for Cristiano Ronaldo and Gareth Bale to spread havoc in opposition defences. Benzema was once a source of frustration but he is hugely appreciated now that he is fully applying himself. He was slightly disappointing when France lost their World Cup quarter-final to Germany, but was nevertheless named as the French player of the year, for the third time.","Jacob Steinberg",100,"√ MC","√ SMc","√ SB","√ PC",19,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
20,"","New","Paul Pogba","Midfielder","Juventus","Serie A",21,"France","Lagny-sur-Marne","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185690069/Paul-Pogba-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185753038/Paul-Pogba-002.jpg","Still just 21 years old, Pogba has established himself over the last year as one of the most influential figures in a Juventus team that continues to dominate Italian football. A genuine box-to-box midfielder – as demonstrated by a lung-bursting charge from the edge of his own area to tame a cross and score against Lazio in November – he was the only Serie A player to be included on Fifa’s 23-man Ballon d’Or shortlist, and is the second-highest new entry on our list. The scary part is that both his club and national team managers believe he has room to improve.","Paolo Bandini",100,"√ MC","√ SMc","√ SB","√ PC",20,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
