"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Position.modifier","sheets.players.Club.on.20.Dec.2019","sheets.players.League","sheets.players.Age.on.20.Dec.2019","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Desked.by","sheets.players.To.be.subbed.by","sheets.players.Subbed","sheets.players.Revised","sheets.furniture.headline","sheets.furniture.standfirst","sheets.furniture.pagestrap","sheets.furniture.shareurl"
"25","6","-19","Antoine Griezmann","Forward","LEFT","Barcelona","Spain","28","France","French, La Liga, Forwards","","","https://media.guim.co.uk/d52d7d4cf127f6c0d9a9356b83364d1d2b689f03/1183_208_1439_1439","cropRatio=1439,1439&size=140,500,1000,1439","https://media.guim.co.uk/23c2f5f33cbb414ed85c9036b0db02646d04055a/0_186_4028_2417","cropRatio=4028,2417&size=140,500,1000,2000,4028","","Having joined from Atlético Madrid, he celebrated his first Barcelona goal by running to the corner, alone, and throwing red and blue confetti in the air, a colourful glittering shower surrounding him. But, having joined the club a year later than he was supposed to, Griezmann is still trying to find his place in the team and with Leo Messi and Luis Suárez. When he was asked if he wouldn’t play better on the right, he replied: “that’s a good question”. A role on the left, where he has not played for five years, has not convinced yet. And, it seems, nor has he. The good news is that he is mentally tough; he’ll need to be.","Sid Lowe","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"26","14","-12","Luis Suárez","Forward","CENTRE","Barcelona","Spain","32","Uruguay","Other nationalities, La Liga, Forwards","","","https://media.guim.co.uk/2bfb136a45f9ad06321779f4dc1aaeca2bd9e2d7/545_41_962_962","cropRatio=962,962&size=140,500,962","https://media.guim.co.uk/2bc36dd02f58527bbb65344a1a62a769968c81e5/157_65_2532_1519","cropRatio=2532,1519&size=140,500,1000,2000,2532","","“There’s going to come a time that my age doesn’t let me be at the necessary level to compete at Barcelona,” Luis Suárez said recently. Some critics have argued that moment has already arrived, which is why in the same interview he also said: “The demands at Barcelona are immense; they won’t let you have a solitary bad game.” He seems to have become an easy target, not the fastest and not blessed with the most aesthetic movement, but only three players have ever scored more Barcelona goals and he still offers what no one else can.","Sid Lowe","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"27","","New entry","Dusan Tadic","Forward","CENTRE","Ajax","Netherlands","31","Serbia","Other nationalities, Other leagues, Forwards","","","https://media.guim.co.uk/2c14955bb3aa28f36cf1065854b3fa303638c082/1793_157_655_655","cropRatio=655,655&size=140,500,655","https://media.guim.co.uk/6a6854b52b8d9c0c9eb03a7a7f21ffe03f2231f4/0_0_4282_2569","cropRatio=4282,2569&size=140,500,1000,2000,4282","","It somehow seems unlikely that Tadic would have been on this list if he had stayed at Southampton in the summer of 2018. The Serbian winger was a decent player in the Premier League but his career <a href=""https://www.theguardian.com/football/2019/dec/10/ajax-dusan-tadic-spurs-china-southampton-interview"">has really taken off since his move to Ajax</a>. His game has taken on new dimensions and he played a key role in Ajax’s run <a href=”https://www.theguardian.com/football/2019/may/08/ajax-tottenham-champions-league-semi-final-match-report-moura"">to the last four of the Champions League</a> last season. Tadic, who by early December had scored 48 goals in 82 games for Ajax, has impressed as a false nine and he also helped Erik ten Hag’s team win the Eredivisie and the Dutch Cup.","Jacob Steinberg","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"28","55","+27","Pierre-Emerick Aubameyang","Forward","CENTRE","Arsenal","England","30","Gabon","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/15f799dc4bd9476862286951eb7922ccb0e47cf6/886_139_733_733","cropRatio=733,733&size=140,500,733","https://media.guim.co.uk/b05e444d99b001f72b10a9ba164a77e28c41bf3b/0_220_3500_2101","cropRatio=3500,2101&size=140,500,1000,2000,3500","","Where would Arsenal be without Aubameyang? He continues to produce at a staggering rate in a relatively uncreative side and his goal return has papered over an almighty series of cracks over the past 12 months. By early December he had managed 29 in 45 games and a remarkable number have changed a match’s complexion. The <a href=""https://www.theguardian.com/football/2019/may/09/valencia-arsenal-europa-league-semi-final-match-report"">Europa League semi-final second-leg hat-trick in Valencia</a> stands out, while this season his strikes have gained Arsenal half of their Premier League points. Much of this has occurred while being shuttled between wide and centre-forward positions by Unai Emery, who made him captain. Aubameyang remains captain under Freddie Ljungberg but, at 30, he may have his eye on a deserved return to Champions League football elsewhere next season.","Nick Ames","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"29","130","New entry","Hakim Ziyech","Midfielder","CENTRE","Ajax","Netherlands","26","Netherlands","Other nationalities, Other leagues, Midfielders","","","https://media.guim.co.uk/2b9af8f4ddccf78baac4c563ccd4a8e8d9e39a8e/771_120_845_844","cropRatio=845,844&size=140,500,845","https://media.guim.co.uk/e3d52eed636f04b9c64bbb0f63132282359ebec2/0_303_3992_2395","cropRatio=3992,2395&size=140,500,1000,2000,3992","","Ziyech’s talents had hardly been a secret before this year, but <a href=""https://www.theguardian.com/football/2019/mar/06/ajax-showcase-six-players-champions-league-renaissance"">Ajax’s Champions League exploits</a> found them a global audience and cemented his place as one of the most vaunted playmakers around. So why, despite being open to a move and potentially costing far less than Frenkie de Jong and Matthijs de Ligt, has nobody from Europe’s biggest leagues taken the plunge? There have always been a few doubts about his efficiency at the highest level, and Ziyech is certainly not shy to take pot shots with his wand of a left foot, but as a creative force who presses insistently there are few better prospects. While Ajax themselves provide a worthy stage for his talents it would be a shame if they were primarily reserved for relatively routine Eredivisie tests for much longer.","Nick Ames","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"30","56","+26","Kalidou Koulibaly","Defender","CENTRE","Napoli","Italy","28","Senegal","Other nationalities, Serie A, Defenders","","","https://media.guim.co.uk/c94203db9086c9090e318a0988b25afe4e88783b/512_59_643_643","cropRatio=643,643&size=140,500,643","https://media.guim.co.uk/11dc331dea540a51d7059bfe8c29933d810ddb7a/0_119_3000_1800","cropRatio=3000,1800&size=140,500,1000,2000,3000","","If Serie A is still, as Carlos Tevez used to describe it, a “university for attackers”, then Koulibaly is the professor setting the toughest exams. A colossal presence at centre-back for Napoli, he was named the division’s best defender in 2018-19 and frankly nobody else was close. Despite some growing pains as he adjusts to new centre-back partner Kostas Manolas this season, Koulibaly delivered standout performances in both his team’s Champions League group games against Liverpool. He also helped Senegal to reach the final of the Africa Cup of Nations, although he was suspended for <a href=""https://www.theguardian.com/football/2019/jul/19/senegal-algeria-africa-cup-of-nations-final-match-report"">the defeat to Algeria</a>, and was named as his national team’s new captain in November.","Nicky Bandini","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"31","11","-20","Neymar","Forward","LEFT","Paris Saint-Germain","France","27","Brazil","Brazilian, Ligue 1, Forwards","","","https://media.guim.co.uk/f0178d00f1c59e03de07418da1399b145d9d796b/1317_836_1145_1145","cropRatio=1145,1145&size=140,500,1000,1145","https://media.guim.co.uk/2995b5d50979d9222e6db93ab4ca0bb0db11b450/191_68_3130_1878","cropRatio=3130,1878&size=140,500,1000,2000,3130","","A wizard with the ball at his feet, Neymar casts such a spell over people that he is rated among the best players on the planet even after possibly the worst year of his career, albeit one in which he inevitably won another French title. That did not stop fans of PSG from calling for him to be sold owing to his suspect commitment to the club. On the other hand, PSG might have fulfilled their Champions League ambitions if he had not been injured at a critical time. Brazil thrived without him at the Copa América. But such is his talent that he was reintroduced to the team as soon as he was fit again.","Paul Doyle","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"32","","New entry","Jadon Sancho","Forward","RIGHT","Borussia Dortmund","Germany","19","England","English, Bundesliga, Forwards","","","https://media.guim.co.uk/572ab43a456b90febfae0450293176b4780cd8b1/125_54_568_568","cropRatio=568,568&size=140,500,568","https://media.guim.co.uk/e998a75e1ab66b2ce6bc4a0905d3d0a95c3935a8/104_86_2557_1534","cropRatio=2557,1534&size=140,500,1000,2000,2557","","Given Sancho is only 19 his figures over the last season and a half – a goal roughly every two and a half games in the Bundesliga and almost an assist every other match – are breathtaking. In December he became only the fourth teenager to reach 20 goals in the German top flight and it is hard to think of a more important player in Dortmund's squad. A dip in form earlier this season saw him briefly dropped and <a href=""https://www.theguardian.com/football/blog/2019/oct/25/jadon-sancho-borussia-dortmund"">disciplined for poor timekeeping</a>; he also faces a battle to regain an England starting spot although <a href=”https://www.theguardian.com/football/2019/sep/10/england-kosovo-euro-2020-qualifying-match-report”>he scored twice at St Mary’s against Kosovo</a>. Those minor issues are, if anything, a reminder that he is still wising up to life at football’s pinnacle. A return to England seems likely at some point – any buyer would be signing a player whose star is still soaring.","Nick Ames","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"33","","New entry","Donny van de Beek","Midfielder","CENTRE","Ajax","Netherlands","22","Netherlands","Other nationalities, Other leagues, Midfielders","","","https://media.guim.co.uk/5ec9a57ab0efe18bbb997592b7f05e67db3b48fb/268_258_1253_1252","cropRatio=1253,1252&size=140,500,1000,1253","https://media.guim.co.uk/3ebcaa1d82393a0e5d07d0fbda09c6f36ed2204e/0_203_4193_2515","cropRatio=4193,2515&size=140,500,1000,2000,4193","","It is strange to think that, until Ajax began making waves in the Champions League last season, Van de Beek was <a href=""https://www.theguardian.com/football/2019/mar/06/ajax-showcase-six-players-champions-league-renaissance"">rarely mentioned as one of their biggest stars</a>. He had been on scouts’ radars but is now, at last, marked out across Europe’s big beasts as a must-have. Real Madrid have been linked particularly strongly with an attacking midfielder who is often likened to Andrés Iniesta, and it is easy to see why given the grace with which he carries the ball and the killer punch packs in dangerous areas. It was Van de Beek who set Ajax’s <a href=""https://www.theguardian.com/football/2019/apr/16/juventus-ajax-champions-league-match-report"">win at Juventus in motion</a> and who seemed to have paved a route to the final by scoring <a href=""https://www.theguardian.com/football/2019/apr/30/tottenham-hotspur-ajax-champions-league-semi-final-first-leg-match-report"">the only goal at Tottenham’s new stadium in the semi</a>. Silky but deadly, he is yet another Ajax player to be taking a place in this list for the first time.","Nick Ames","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"34","","Re-entry","Fabinho","Midfielder","CENTRE","Liverpool","England","26","Brazil","Brazilian, Premier League, Midfielders","","","https://media.guim.co.uk/b124579fc2d43c46ab7d81c41611642db29128cd/1395_125_1164_1164","cropRatio=1164,1164&size=140,500,1000,1164","https://media.guim.co.uk/3e1e04dcd361bdb74802355c542c75f0e0a70d99/0_172_2992_1795","cropRatio=2992,1795&size=140,500,1000,2000,2992","","It has been something of a breakthrough year for the Brazilian. After <a href=""https://www.theguardian.com/football/blog/2018/may/29/liverpool-capture-fabinho-anfield-jurgen-klopp"">joining Liverpool in May 2018</a>, he had largely operated under the radar, initially struggling to hold down a first-team place. But that changed around Christmas and he has gone on to become <a href=""https://www.theguardian.com/football/2019/may/31/fabinho-key-man-liverpool-midfield"">a key part of Jürgen Klopp’s side</a> and he has also established himself in Brazil’s squad this year. Dynamic, strong and tactically astute, there is a case to be made for the 26-year-old to be recognised as the best defensive midfielder in the world. The shame for all concerned is that his talents will not be on display again until 2020 due to ankle ligament damage.","Sachin Nakrani","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"35","","New entry","João Félix","Forward","CENTRE","Atlético Madrid","Spain","20","Portugal","Other nationalities, La Liga, Forwards","","","https://media.guim.co.uk/d264c3c166c548f99d9fcaf89a3f4d02d9c3ef6c/239_28_1120_1120","cropRatio=1120,1120&size=140,500,1000,1120","https://media.guim.co.uk/fc183092aff839ed69b1722dce15ef951d53f76a/0_120_3247_1949","cropRatio=3247,1949&size=140,500,1000,2000,3247","","<a href=""https://www.theguardian.com/football/2019/jul/03/atletico-madrid-sign-benfica-teenager-joao-felix-for-fee-of-126m"">€126m and he’s 20</a>. No pressure, kid. To start with, it seemed like Félix felt no pressure, too. Superb in pre-season, he led Atlético in putting seven past Real Madrid, and decided the first few games of the season, a player of skill, vision and speed. But Diego Simeone, a coach not given to accommodating creative No 10s, was still seeking his best position, inclined towards playing him on the right – which is not where he wanted to play – and, having picked up an injury, out of position, he’s not had consistency. Withdrawn <a href=""https://www.theguardian.com/football/2019/dec/01/atletico-mardid-barcelona-la-liga-match-report"">in the defeat to Barcelona at the start of December</a>, he sat on the bench wearing a face that suggested he’s not enjoying this much.","Sid Lowe","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"36","17","-19","Sergio Ramos","Defender","CENTRE","Real Madrid","Spain","33","Spain","Spanish, La Liga, Defenders","","","https://media.guim.co.uk/b6af4c7065f3cf4e68a44c967132d934fa1c3200/881_30_1177_1177","cropRatio=1177,1177&size=140,500,1000,1177","https://media.guim.co.uk/eb99dffa5ebd2799f8145bed75af7e826aff2841/296_202_3088_1854","cropRatio=3088,1854&size=140,500,1000,2000,3088","","Has there ever been a more influential player at Real Madrid, someone who has more completely played the role of captain, for good and bad? There’s something almost cartoonish about Ramos, star of a new Amazon documentary which, to great irritation, was partly filmed in his private box while Madrid were getting <a href=""https://www.theguardian.com/football/2019/mar/05/real-madrid-ajax-champions-league-match-report"">dumped out of last season’s Champions League by Ajax</a>. Accident-prone and heroic in one package and the same game, the truth is that last season he was mostly truly awful, but there’s something about him that keeps people coming back and keeps him coming back too.","Sid Lowe","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"37","67","+30","Joshua Kimmich","Defender","RIGHT","Bayern Munich","Germany","24","Germany","German, Bundesliga, Defenders","","","https://media.guim.co.uk/f1b6b3abf8b733bd3a3d46bd1d629430046a1c6c/669_179_558_558","cropRatio=558,558&size=140,500,558","https://media.guim.co.uk/10ce747b137a1a5be79ebee302b4bd87e0cecdff/0_245_4653_2790","cropRatio=4653,2790&size=140,500,1000,2000,4653","","Another year, another German league title and another milestone for Kimmich. In September he did what <a href=""https://www.theguardian.com/football/2018/apr/02/joshua-kimmich-lahm-bayern-munich-pep-guardiola-germany-interview"">everyone had been saying he would</a> since he first broke through: he captained the national team. He wore the armband for the 2-2 friendly against Argentina and although he joked afterwards that it had been “too big” and that he needed to work on his biceps, it confirmed he is the leader of this German generation. Still equally adept at right-back and in central midfield he now has four Bundesliga titles, two German cups and almost 50 caps for his country. And he is only 24.","Marcus Christenson","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"38","","New entry","Serge Gnabry","Forward","CENTRE","Bayern Munich","Germany","24","Germany","German, Bundesliga, Forwards","","","https://media.guim.co.uk/b30b88f8bb6e82a07061a589d218be262cdca64d/457_1052_2593_2593","cropRatio=2593,2593&size=140,500,1000,2000,2593","https://media.guim.co.uk/db076e5331a481dce324c766d4037d814b7265ed/0_286_2686_1611","cropRatio=2686,1611&size=140,500,1000,2000,2686","","Gnabry’s ill-fated spell on loan at West Brom under Tony Pulis, during which he hardly played and was rarely match-fit, is now a story for the ages. That was back in 2015 and the 24-year-old has become the talent Arsenal always suspected he might be when they signed him as a teenager. The biggest compliment anyone can offer is that, while Bayern are suffering in several areas, the retirements of Franck Ribéry and Arjen Robben are far down their list of regrets. At his best Gnabry looks as exhilarating as either and his individual performance in the astonishing 7-2 win at Tottenham, in which <a href=""https://www.theguardian.com/football/2019/oct/01/tottenham-hotspur-bayern-munich-champions-league-match-report"">he scored four times in 35 second-half minutes</a>, may not be outdone by anyone this season. A <a href=""https://www.theguardian.com/football/2019/nov/19/germany-northern-ireland-euro-2020-qualifier"">hat-trick for Germany against Northern Ireland</a> underscored his importance to the national team and it is hard to think of a winger who is developing as rapidly.","Nick Ames","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"39","124","Re-entry","Ángel Di María","Midfielder","RIGHT","Paris Saint-Germain","France","31","Argentina","Argentinian, Ligue 1, Midfielders","","","https://media.guim.co.uk/1d3597a31d13cf9a9ae855e0b7d71a0fc5e2f6e0/3059_955_1234_1234","cropRatio=1234,1234&size=140,500,1000,1234","https://media.guim.co.uk/68b40d349f2999903a1d80771e3206f9077df177/0_101_3461_2077","cropRatio=3461,2077&size=140,500,1000,2000,3461","","The Argentinian's re-entry into the top 100 is testament to the upturn in form that he has enjoyed this year, which was best exemplified by the two goals he scored against one of his former clubs, Real Madrid, in September. Last year PSG considered following in the footsteps of Real and Manchester United by offloading Di María but he has confirmed his value to them since then after regaining his confidence under Thomas Tuchel. “He's my player now and that's a gift,” said Tuchel this year. “He is super-reliable.”","Paul Doyle","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"40","59","+19","Ederson","Goalkeeper","CENTRE","Manchester City","England","26","Brazil","Brazilian, Premier League, Goalkeepers","","","https://media.guim.co.uk/686453773fefe238f9cb6c1e36140731ea9b0c51/230_162_1323_1323","cropRatio=1323,1323&size=140,500,1000,1323","https://media.guim.co.uk/dc546f5a08ec68e12581b427b540f5cba379df09/0_87_2406_1443","cropRatio=2406,1443&size=140,500,1000,2000,2406","","A significant step up the list following another year of consistent excellence for the Premier League champions. Never fails to impress with his shot-stopping ability (and seems to cope admirably with the constantly changing cast of characters in front of him in the Manchester City defence) but it is his talent with the ball at his feet that really sets him apart and his importance is illustrated every time the prospect of him missing a game raises its head. He watched <a href=""https://www.theguardian.com/football/2019/jul/02/argentina-brazil-copa-america-match-report"">Brazil's Copa América success</a> from the bench but Alisson’s injury in the autumn has meant Ederson stepping up for his national side, even though his chances of ousting the Liverpool keeper as regular No 1 seem remote.","John Ashdown","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
