"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Position.modifier","sheets.players.Club.on.20.Dec.2019","sheets.players.League","sheets.players.Age.on.20.Dec.2019","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Desked.by","sheets.players.To.be.subbed.by","sheets.players.Subbed","sheets.players.Revised","sheets.furniture.headline","sheets.furniture.standfirst","sheets.furniture.pagestrap","sheets.furniture.shareurl"
"1","3","+2","Lionel Messi","Forward","RIGHT","Barcelona","Spain","32","Argentina","Argentinian, La Liga, Forwards","","","https://media.guim.co.uk/b903cd4512aaa6905d41ffb4f12032f3d423e5fc/1067_70_685_685","cropRatio=685,685&size=140,500,685","https://media.guim.co.uk/387a15ebd86fe7fd9fdf2df6e890d1612a1a0018/856_139_3439_2064","cropRatio=3439,2064&size=140,500,1000,2000,3439","","This entry is supposed to be around 100 words long, so the temptation is to say: “Lionel Messi is the best player by a very long way” and simply repeat the word “very” as many times as is necessary to fill the rest of the space. Ninety, by our calculations. It would not be that much of an exaggeration, either. Player of the year is a different debate, and a lot more open, but Messi was Europe’s top scorer and the Champions League’s top scorer too, despite the fact that, as he said when he <a href=""https://www.theguardian.com/football/2019/dec/02/ballon-dor-lionel-messi-megan-rapinoe"">collected the Ballon d’Or</a>, he’s a “constructor” not a goalscorer. Even that old line about how he disappeared at Anfield isn’t actually true: try watching the game again. And in the end, it’s quite simple: no one has played like Messi in 2019. Maybe no one has played like Messi, full stop.","Sid Lowe","","","SG","JA√","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"2","24","+22","Virgil van Dijk","Defender","CENTRE","Liverpool","England","28","Netherlands","Other nationalities, Premier League, Defenders","","","https://media.guim.co.uk/fc900ee9fb5cfdf92d1480067848d56e026087d0/1164_211_1516_1516","cropRatio=1516,1516&size=140,500,1000,1516","https://media.guim.co.uk/f0e90e1c08610bffa67724408a04bb8eb8243c7a/331_203_2970_1782","cropRatio=2970,1782&size=140,500,1000,2000,2970","","Quite simply the best defender in the world – calm, composed, brilliant in possession and in the air, a leader and an inspiration. The Dutchman has it all and played a crucial role in <a href=""https://www.theguardian.com/football/2019/jun/01/tottenham-liverpool-champions-league-final-match-report"">Liverpool’s Champions League triumph</a> and sensational form in the Premier League – runners-up last season, runaway leaders this. He also <a href=""https://www.theguardian.com/football/2019/jun/09/portugal-netherlands-nations-league-final-match-report"">led the Netherlands to the Nations League final</a> and has rightly been showered with individual recognition, winning the <a href=""https://www.theguardian.com/football/2019/apr/28/pfa-player-of-year-virgil-van-dijk"">PFA player of the year</a> and <a href=""https://www.theguardian.com/football/video/2019/aug/30/van-dijk-very-proud-to-win-uefa-player-of-the-year-award-video"">Uefa men’s player of the year</a> awards while also coming <a href=""https://www.theguardian.com/football/2019/dec/02/ballon-dor-lionel-messi-megan-rapinoe"">second to Lionel Messi for the Ballon d’Or</a>. Van Dijk’s rise of 22 places to also finish behind the Argentinian in this list is richly deserved.","Sachin Nakrani","","","SG","JA√","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"3","19","+16","Sadio Mané","Forward","LEFT","Liverpool","England","27","Senegal","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/e0d102855c50f00900b88dfcc0d3d35a4b58f9a0/1334_200_1205_1205","cropRatio=1205,1205&size=140,500,1000,1205","https://media.guim.co.uk/ba5c2d0632afbbafb121112210bf684df598275e/35_163_2737_1642","cropRatio=2737,1642&size=140,500,1000,2000,2737","","He builds schools in his home town, he lays waste to opposing defences: what's not to love about Mané? He has been Liverpool's most consistently brilliant attacker in a year when they swept to Champions League glory and set a pace in the Premier League that suggests they are on the verge of satisfying their 30-year craving for the English title. Mané boasts as much trickery as any winger but can also beat defenders with power, speed or sheer dynamism, and will almost always choose the best option. Manuel Neuer still might not have figured out how the Senegal international rendered him irrelevant before delicately chipping Liverpool <a href=""https://www.theguardian.com/football/2019/mar/13/sadio-mane-and-virgil-van-dijk-take-liverpool-past-bayern-munich"">into the lead at Bayern Munich in March</a>. Just run-of-the-mill deadliness for Mané in a year in which he also took his country to <a href=""https://www.theguardian.com/football/2019/jul/20/sadio-mane-riyad-mahrez-season-ends-africa-cup-of-nations-final-premier-league"">the Africa Cup of Nations final</a>. ","Paul Doyle","","","JA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"4","2","-2","Cristiano Ronaldo","Forward","CENTRE","Juventus","Italy","34","Portugal","Other nationalities, Serie A, Forwards","","","https://media.guim.co.uk/673873a30b8ae8a4b2d120c7a40c494ca3a6aa7c/263_114_1089_1089","cropRatio=1089,1089&size=140,500,1000,1089","https://media.guim.co.uk/1fa2902cf2eb184a7bf5d0046233e705d7c0a673/0_39_2577_1546","cropRatio=2577,1546&size=140,500,1000,2000,2577","","Snubbed by the Ballon d’Or voters, and down to his lowest position in our rankings since they launched in 2012, you could be forgiven for thinking that this was a disastrous year for Ronaldo. Lowlights included <a href=""https://www.theguardian.com/football/2019/apr/16/juventus-ajax-champions-league-match-report"">Champions League elimination by Ajax</a> and a furious exit from Juventus’s stadium before the final whistle <a href=""https://www.theguardian.com/football/2019/nov/10/cristiano-ronaldo-angered-substitution-juventus-milan"">after he was subbed off in a game against Milan</a>. Yet this was also a year when he won two major competitions for the first time – Serie A and the Nations League. Ronaldo was voted as player of the year in the former, and <a href=""https://www.theguardian.com/football/2019/jun/05/portugal-switzerland-nations-league-semi-final-match-report"">scored a hat-trick in the semi-final</a> of the latter. Not too shabby, by anyone else's standards.","Nicky Bandini","","","SG","JA√","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"5","5","=","Mohamed Salah","Forward","RIGHT","Liverpool","England","27","Egypt","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/05f72a837f2aae073aa6a24b7a7fe39effc963bb/1113_1471_997_997","cropRatio=997,997&size=140,500,997","https://media.guim.co.uk/beb4bd81ae7201060f37ea362dcf475502914d2f/592_438_3451_2070","cropRatio=3451,2070&size=140,500,1000,2000,3451","","It has been a curious 12 months for Salah in that he has achieved a lot yet there remains a sense he has also come up short. That is because of the high standards he set for himself a couple of years ago, and the fact remains that a return of 20-plus goals for Liverpool in 2019 is a decent return, especially given one of those was in <a href=""https://www.theguardian.com/football/2019/jun/01/tottenham-liverpool-champions-league-final-match-report"">May’s Champions League final</a>. Dazzling and dangerous, the 27-year-old has played his part for the Merseysiders, as well as for Egypt, with Salah’s only regret in 2019 surely being that his national team only reached the last-16 of what was a home Africa Cup of Nations.","Sachin Nakrani","","","SG","JA√","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"6","4","-2","Kylian Mbappé","Forward","CENTRE","Paris Saint-Germain","France","21","France","French, Ligue 1, Forwards","","","https://media.guim.co.uk/73fd148f9faef228a7025395776188f9728f96fa/478_118_1841_1841","cropRatio=1841,1841&size=140,500,1000,1841","https://media.guim.co.uk/c81825d4497c6c82f6e6737e0d4eb451f3694164/231_229_3151_1891","cropRatio=3151,1891&size=140,500,1000,2000,3151","","Eden Hazard, no less, said this year that Mbappé was not only one of the best players in the world but “if he continues like this, he will go down as one of the best players in history”. There is no reason to think Mbappé will relent any time soon bearing in mind his precocious awareness alongside his phenomenal speed and skill. Boredom with Ligue 1, where he finished as top scorer this year with a ridiculous 33 goals in 29 matches, might be the biggest hindrance to his continued development. But at least he can amuse himself by tearing up defence in the Champions League and for France, too. And then he will probably move to Real, a transfer that, like Hazard's, seems destined to happen.","Paul Doyle","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"7","30","+23","Robert Lewandowski","Forward","CENTRE","Bayern Munich","Germany","31","Poland","Other nationalities, Bundesliga, Forwards","","","https://media.guim.co.uk/01cef7b029d12e847d4a542a63ffbcfd08ded9d0/2008_1068_1260_1261","cropRatio=1260,1261&size=500,1000,1260","https://media.guim.co.uk/44c880077521193e5bfec6331c987aa2c273591a/91_336_3344_2006","cropRatio=3344,2006&size=140,500,1000,2000,3344","","“I have to confess,” wrote Robert Lewandowski on Twitter in November, “that I am addicted to scoring goals”. The words were followed by a smiley and four footballs, signifying the four goals he had scored in the 6-0 Champions League win at Red Star Belgrade. After drawing a blank in the German Super Cup against Dortmund in August he set out on <a href=""https://www.theguardian.com/football/2019/oct/26/robert-lewandowski-bundesliga-record-bayern-juventus-lecce"">a record-breaking run</a> that saw him score in every game he started until 23 November. By early December he had racked up 27 goals in 22 games to prove that he is still one of the most lethal finishers in the world. His form sees him climb 23 places on our list.","Marcus Christenson","","","SG","JA√","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"8","31","+23","Raheem Sterling","Forward","RIGHT","Manchester City","England","25","England","English, Premier League, Forwards","","","https://media.guim.co.uk/52942b71f1a336c6652a9dcfcf1fac1ae1302db3/689_72_699_699","cropRatio=699,699&size=140,500,699","https://media.guim.co.uk/643e49d22a6f4ea58fa9e27c93f0630d3e057cdd/0_5_5089_3054","cropRatio=5089,3054&size=140,500,1000,2000,5089","","Followed up the best season of his career in 2017-18 with an even better one in 2018-19 and, with 15 goals in 21 appearances already this season, he’s showing no sign of slowing down. Goals have been perhaps the most notable facet of his continuing improvement – he’s scored four hat-tricks for club and country in 2019 alone – but increasingly Sterling has become the player who looks to drag City through when the chips are down, particularly in Europe. The altercation with Joe Gomez that led to him being dropped from the England side in November was a backwards step in a year in which Sterling has otherwise only moved forward.","John Ashdown","","","SG","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"9","43","+34","Alisson","Goalkeeper","CENTRE","Liverpool","England","27","Brazil","Brazilian, Premier League, Goalkeepers","","","https://media.guim.co.uk/67e97fb93aba5b6be8f268579a1e962faa19f670/1110_128_809_809","cropRatio=809,809&size=140,500,809","https://media.guim.co.uk/31d54eea57f227ff084f9e918fd01ffb06c927a2/76_155_1875_1125","cropRatio=1875,1125&size=140,500,1000,1875","","Has leapfrogged Jan Oblak, Marc-André ter Stegen, David de Gea and Thibaut Courtois to be the No 1 goalkeeper in the list. And, for that matter, has moved past Neymar, Roberto Firmino and Philippe Coutinho to be the top Brazilian in the 100 too. And, stats fans, he becomes only the second goalkeeper to make it to the top 10, after Manuel Neuer in 2014 and 2015. And it is all fully deserved. He helped Liverpool to a <a href=""https://www.theguardian.com/football/2019/jun/01/tottenham-liverpool-champions-league-final-match-report"">Champions League triumph</a> and marshalled the best defence in the Premier League last season. In the summer, he <a href=""https://www.theguardian.com/football/2019/jul/08/brazil-peru-copa-america-tite-neymar"">won the Copa América with Brazil</a>, where he was named in the team of the tournament. And though this season has been injury disrupted, there's no doubting his importance to Jürgen Klopp's runaway Premier League leaders.","John Ashdown","","","SG","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"10","92","+82","Frenkie de Jong","Midfielder","CENTRE","Barcelona","Spain","22","Netherlands","Other nationalities, Other leagues, Midfielders","","","https://media.guim.co.uk/f665cc74e330627284ded27a7cd8f9d7169f4367/1991_136_1128_1128","cropRatio=1128,1128&size=140,500,1000,1128","https://media.guim.co.uk/fa5c5a3917a009cc73a6ec8f91650f19ce5de1c2/249_284_3774_2265","cropRatio=3774,2265&size=140,500,1000,2000,3774","","Eighty-two places: it’s a huge climb but anyone who watched <a href=""https://www.theguardian.com/football/2019/may/09/fairytale-bad-ending-ajax-netherlands-champions-league-tottenham"">De Jong play for Ajax in last season’s Champions League</a> having probably seen very little of him before that, can understand why. <a href=""https://www.theguardian.com/football/2018/dec/06/frenkie-de-jong-ajax-manchester-city-barcelona"">Clever, quick, visionary</a>, and still only 22, Barça see him as the most important piece in a new midfield that will lead them for a decade to come. There have been moments this season when he has looked like exactly that, his passing precise, physically impressive and blessed with vision and personality, but his role has shifted through all three midfield positions and the adaptation process is not yet complete.","Sid Lowe","","","SG","JA√","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
