"sheets.Sheet1.Rank","sheets.Sheet1.Last.year","sheets.Sheet1.Up.or.down","sheets.Sheet1.Name","sheets.Sheet1.Position","sheets.Sheet1.Club.on.20.Dec.2015","sheets.Sheet1.League","sheets.Sheet1.Age.on.20.Dec.2015","sheets.Sheet1.Nationality","sheets.Sheet1.Birthplace","sheets.Sheet1.Filters","sheets.Sheet1.Image.found","sheets.Sheet1.Video.Path","sheets.Sheet1.Main.image.URL.500x500px","sheets.Sheet1.Main.Image.URL.landscape.900.x.506px","sheets.Sheet1.Facewall.cell.image.GRID.src","sheets.Sheet1.Facewall.cell.image.GRID.attributes","sheets.Sheet1.Facewall.main.image.GRID.src","sheets.Sheet1.Facewall.main.image.GRID.attributes","sheets.Sheet1.","sheets.Sheet1.Profile","sheets.Sheet1.Writer","sheets.Sheet1.Words","sheets.Sheet1.Copy.in","sheets.Sheet1.Desked.","sheets.Sheet1.Subbed","sheets.Sheet1.Revised"
"89","","New entry","Alex Teixeira","Midfielder","Shakhtar Donetsk","Ukraine","25","Brazil","Duque de Caxias","Brazilian, Other leagues, Midfielders","","","","","https://media.guim.co.uk/086470e1e7f087e469622008f84d02b7a4ac6a71/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/b8e3a47bb92eeb7425a1b4f22ca247d835f63f48/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Shakhtar Donetsk’s production line of Brazilian talents shows little sign of slowing. Alex Teixeira has actually been with the club since 2010, when he was just 20, but his form in an otherwise flat Champions League campaign has set the vultures hovering and his manager, Mircea Lucescu, says he will not be sold for less than €40m. He has been mentioned in connection with Chelsea – although he is far from alone in that – and whoever puts up the money would get a diminutive, quick-footed attacking midfielder with a remarkable knack of getting on the end of things. Teixeira scored 22 goals in all competitions last season and, staggeringly, amassed the same number in his first 15 domestic games this time around.","Nick Ames","100","SMc√","SMc√","TB√","NAm√"
"90","","New entry","Dimitri Payet","Midfielder","West Ham United","England","28","France","Saint-Pierre, Réunion","Other nationalities, Premier League, Midfielders","","","","","https://media.guim.co.uk/fa8952616095ef818fd476991a13487e3a4fe175/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/5ccfc8f92e27d6a08bc2d70db585096aef361260/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Dimitri Payet deserved better than for his year to be cut short, but James McCarthy’s rash challenge on the West Ham playmaker in November ruled him out for at least three months and may have dealt a fatal blow to his club’s chances of a European place, too. That the latter is the case says everything about the impact Payet has had since joining from Marseille in August. He picked up the pace of the Premier League straightaway, scoring five times in his first nine outings. In his final season in Ligue 1, he had made 17 assists. In Payet, who turns 29 in March, Slaven Bilic’s side have a technically superb, diligent talent who will hope for a return to the France squad in time for Euro 2016.","Nick Ames","100","SMc√","SMc√","NAm√","TB√"
"91","84","-7","Isco","Midfielder","Real Madrid","Spain","23","Spain","Benalmádena","Spanish, La Liga, Midfielders","","","","","https://media.guim.co.uk/af869ed596eaecd19d9c333ce980c507fe0ac293/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/bf1d0ff6e471b3c6d3ed28091a5a1db7798e200c/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","For a period towards the end of last season there was a clamour for Real's play to revolve around this young gem rather than Cristiano Ronaldo. Rash, possibly, but definitely a tribute to the form that Isco was showing at a time when several more vaunted players were performing below par. His marvellous dribbling, precise crossing and all-round vision make him a creator of rare quality, attributes he now shows on a regular basis for Spain, too.","Paul Doyle","100","SMc√","MC√","NAm√","TB√"
"92","","New entry","Leonardo Bonucci","Defender","Juventus","Italy","28","Italy","Viterbo","Other nationalities, Serie A, Defenders","","","","","https://media.guim.co.uk/1b9e8484cbb1231a7be346ef757f09a8f462e3f3/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/598d88731cb5b1c3486f7054589cb46f5b71b8fc/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","The silk alongside the steel of Giorgio Chiellini and Andrea Barzagli in Juventus's mean defence. A former midfielder whose passing game and vision have been key to Juve's four consecutive league titles, Leonardo Bonucci takes a place in our top 100 for the <a href=""http://www.theguardian.com/football/interactive/2012/dec/20/top-100-footballers-in-the-world-interactive"" >first time since 2012</a>. Won the double in 2015 and helped Juventus to become the first Italian Champions League finalists since José Mourinho's Inter in 2010. Chips in with his fair share of goals from set pieces, using his aerial ability to good effect. His cool presence in central defence was a key factor as Italy qualified for Euro 2016 undefeated.","Gregg Bakowski","100","SMc√","MC√","NAm√","TB√"
"93","","New entry","Carlos Sánchez","Midfielder","River Plate","Argentina","31","Uruguay","Montevideo","Other nationalities, Other leagues, Midfielders","","","","","https://media.guim.co.uk/9a6758a3cace6544e52d4727fb140e7b83b6b635/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/719a7ce0b197446aec21d157b9080d750f900cf4/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Time was when only one player nicknamed ""Pato"" would have been considered for this list. While Alexandre was finding the net for Milan five years ago, Carlos Sánchez was plugging away in mid-career for the unfashionable Mendoza-based side Godoy Cruz. But since his dream move to River Plate the 31-year-old Uruguayan has, slightly late in the day, become one of South America’s most sought-after talents. The next to benefit will be the Mexican side Monterrey, who the right-sided attacking midfielder will join just months after scoring four times in <a href=""http://www.theguardian.com/football/2015/aug/06/river-plate-win-copa-libertadores-title"">River’s first Copa Libertadores success since 1996</a>. Among those contributions was a decisive penalty in the controversial last-16 tie with Boca; it is fair to say Sánchez, who has scored some spectacular goals, will not be forgotten.","Nick Ames","100","SMc√","SMc√","TB√","NAm√"
"94","","New entry","Sebastian Giovinco","Forward","Toronto","USA","28","Italy","Turin","Other nationalities, Other leagues, Forwards","","","","","https://media.guim.co.uk/04e6e8ddb89f646571428b5ef20b5cc69f6167ec/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/040d5181d2e80952b1d57f8e23783806a77e1875/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Sebastian Giovinco’s decision to join Toronto in January 2015 was met with incredulity in Italy. Here was a player who should have been in the prime of his career, 28 years old and an Italy international, turning his back on Serie A in favour of Major League Soccer. As reports trickled in of a $7m per year salary, more than one prominent commentator accused him of selling out his childhood dream of becoming the Juventus No10.

But Giovinco was not the one in need of a reality check. This was his sixth season at Juventus, split across three different spells, and he was no closer to that No10 shirt than he had ever been. Successive managers had failed to get the most from him and now, under Massimiliano Allegri, he was having a hard time finding space in the team.

What Toronto promised, more than money, was a chance to be a leading man. Giovinco grasped that opportunity with both hands, becoming the first player ever to finish as MLS’s (joint) top scorer and leading assist man in the same year.

The numbers alone could not do justice to the sheer entertainment of watching him play. As Giovinco’s confidence returned, so did the feints, touches and tricks that we had seen so regularly during his best season, four years ago, at Parma, but only intermittently since. One veteran MLS writer observed that every free-kick Giovinco took <a href=""https://twitter.com/andrew_wiebe/status/658413907632128000"" >had become ""an event""</a>.

At Juventus, the player had been shackled – forced to play in positions and systems that did not suit him. Toronto built their plans around him and have reaped the rewards. Giovinco looks more confident than at any time in his career, and has even won back his place in the Italy side after briefly losing it in the wake of his move.","Paolo Bandini","300","SMc√","MC√","NAm√","TB√"
"95","","New entry","Santi Cazorla","Midfielder","Arsenal","England","31","Spain","Llanera","Spanish, Premier League, Midfielders","","","","","https://media.guim.co.uk/128a79dceef742c9cd902f9be2ef88cf5690f541/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/9be89bd4ed5e3710c17dfddb72dddd97ecb4140e/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","A re-entry to the list – he was No67 in 2013 – to reflect his re-emergence at the very highest level. The Spain midfielder has been given a new role by Arsène Wenger at Arsenal, as a deeper-sitting central playmaker, and how he has responded. His quick feet make him a delight to watch and so does the vision and incision of his passing. Wenger has also had cause to highlight the manner in which he reads the game, which helps him with his defensive duties. Ruptured the lateral ligament in his knee at the end of November; club and country are praying that he returns as the same force.","David Hytner","100","SMc√","SMc√","NAm√",""
"96","79","-17","Francesco Totti","Forward","Roma","Italy","39","Italy","Rome","Other nationalities, Serie A, Forwards","","","","","https://media.guim.co.uk/f55766521696b20439bf09671f157180dbf13b8b/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/c63a79ce507ff552272d730b073115883e9a6100/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Always a divisive talent, Francesco Totti has had his fair share of critics down the years but provokes such <a href=""http://www.theguardian.com/sport/blog/2015/sep/27/football-francesco-totti-jimmy-armfield-premier-league"" >fierce loyalty in his supporters</a> that some celebrate his birthday each September by wishing one another ""Merry Christmas"". So perhaps we should not be surprised to discover that, while many left him off their lists altogether, one of our panelists defiantly named him as the best player in the world. In truth, he is no longer a fixture of the Roma first XI, but he does remain the club captain and, even at 39, he still has a part to play.","Paolo Bandini","100","SMc√","MC√","TB√","NAm√"
"97","","New entry","Riyad Mahrez","Forward","Leicester City","England","24","Algeria","Sarcelles, France","Other nationalities, Premier League, Forwards","","","","","https://media.guim.co.uk/f8f6695ea6e7a616bb2071cf09a9dd759fb67d43/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/d181811263712e882cd0b20dab8fb07206fcc65c/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","It is hard to believe that Riyad Mahrez once feared he was unsuitable for English football. After joining Leicester in 2014 he helped them to promotion from the Championship and then played a valuable role in their thrilling late dash for survival in the Premier League before an even more eye-catching role in their sensational current season. His speed, trickery and sharpness make Mahrez one of the most exciting players in the Premier League at the moment. His influence for his country has also risen since Algeria's disappointing quarter-final exit in the Africa Cup of Nations last January.","Paul Doyle","100","SMc√","MC√","NAm√","TB√"
"98","","New entry","Andriy Yarmolenko","Forward","Dynamo Kyiv","Ukraine","26","Ukraine","Saint Petersburg","Other nationalities, Other leagues, Forwards
","","","","","https://media.guim.co.uk/940d98fe37f57cdd223d76c9bb9f2d498f706c3f/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/736973d5ba2115e1ce1191164b8fd3799a27e5d0/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","The smart money is on Andriy Yarmolenko’s gifts being visible to a wider public before long. The Dynamo Kyiv forward joins Yevhen Konoplyanka in forming one of the world’s most <a href=""http://www.theguardian.com/football/blog/2012/jun/06/euro-2012-ukraine-andriy-yarmolenko"">exhilarating wide pairings with the Ukraine national team</a>, for whom he scored three times in the Euro 2016 play-offs, and could even be playing in the Premier League before next summer. Matters might be complicated by the new contract he has signed at Dynamo; he is the club’s talisman and has become a prolific goalscorer, finding the target twice as they reached the Champions League round of 16 for the first time since 1999/2000. A powerful six-footer with a rocket of a left foot, Yarmolenko has enough about him to be successful anywhere.","Nick Ames","100","SMc√","SMc√","TB√","NAm√"
"99","48","-51","Nemanja Matic","Midfielder","Chelsea","England","27","Serbia","Sabac","Other nationalities, Premier League, Midfielders","","","","","https://media.guim.co.uk/037f145f07ef6dcb3b7586c101385b5143d9a8ff/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/66cf8d3f39d2d949ed25bb1453af2487efbf2057/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Nemanja Matic was integral last season, screening Chelsea's back line effectively and reclaiming the ball to allow attack-minded team-mates to thrive. There was no better defensive midfielder in the Premier League over that title-winning campaign. Yet perhaps a first full season in English football sapped his energy because, like his team-mates, he has laboured too often this year. There have been signs of late that the Serbian international's leggy energy is restored, with his influence on the rise once more, but a slump of 51 places reflects the reality that he was off the pace and diminished through much of the autumn.","Dominic Fifield","100","SMc√","MC√","NAm√","TB√"
"100","","New entry","Laurent Koscielny","Defender","Arsenal","England","30","France","Tulle","Other nationalities, Premier League, Defenders","","","","","https://media.guim.co.uk/62940b08a48f177d3ac3b2a24c51ac49da68f268/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/e940ab37512a4ffcf438c171e0754faf69135513/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","On New Year's Day 2015 Arsenal <a href=""http://www.theguardian.com/football/2015/jan/01/southampton-arsenal-premier-league-match-report"">suffered a shambolic defeat</a> at Southampton. That pretty much terminated Arsène Wenger's faith in Wojciech Szczesny and marked the start of Arsenal's solidification, a process to which Laurent Koscielny has been integral. As Arsenal have evolved into one of the meanest defences in the Premier League, Koscielny has emerged as one of the best centre-backs. He has also performed well at international level and can expect to start in the heart of France's defence at Euro 2016.","Paul Doyle","100","SMc√","MC√","TB√","NAm√"
